0 Branching ratio for SO      S/O        0 branches     
Lambda   S/O
2371.44         1.19E-19
2371.93         1.06E-19
2372.43         9.29E-20
2372.92         8.02E-20
2373.42         7.15E-20
2373.91         6.28E-20
2374.41         5.42E-20
2374.90         4.66E-20
2375.40         3.91E-20
2375.90         3.16E-20
2376.39         2.69E-20
2376.89         2.27E-20
2377.38         1.85E-20
2377.88         1.57E-20
2378.37         1.35E-20
2378.87         1.14E-20
2379.36         9.38E-21
2379.86         7.58E-21
2380.36         5.78E-21
2380.85         4.40E-21
2381.35         3.60E-21
2381.84         2.80E-21
2382.34         2.30E-21
2382.83         2.57E-21
2383.33         2.83E-21
2383.83         2.99E-21
2384.32         2.52E-21
2384.82         2.05E-21
2385.31         1.58E-21
2385.81         2.27E-20
2386.30         4.40E-20
2386.80         6.53E-20
2387.29         1.44E-19
2387.79         2.33E-19
2388.29         3.23E-19
2388.78         3.74E-19
2389.28         4.07E-19
2389.77         4.41E-19
2390.27         4.32E-19
2390.76         3.85E-19
2391.26         3.37E-19
2391.75         2.94E-19
2392.25         2.58E-19
2392.75         2.22E-19
2393.24         1.88E-19
2393.74         1.66E-19
2394.23         1.44E-19
2394.73         1.22E-19
2395.22         1.05E-19
2395.72         8.90E-20
2396.22         7.25E-20
2396.71         6.10E-20
2397.21         5.05E-20
2397.70         4.01E-20
2398.20         3.30E-20
2398.69         2.79E-20
2399.19         2.29E-20
2399.68         1.88E-20
2400.18         1.60E-20
2400.68         1.31E-20
2401.17         1.05E-20
2401.67         8.50E-21
2402.16         6.48E-21
2402.66         4.56E-21
2403.15         4.21E-21
2403.65         3.85E-21
2404.15         3.50E-21
2404.64         3.49E-21
2405.14         3.54E-21
2405.63         3.59E-21
2406.13         3.71E-21
2406.62         3.89E-21
2407.12         4.06E-21
2407.61         2.74E-20
2408.11         7.94E-20
2408.61         1.31E-19
2409.10         2.08E-19
2409.60         3.68E-19
2410.09         5.27E-19
2410.59         6.84E-19
2411.08         7.12E-19
2411.58         7.39E-19
2412.07         7.67E-19
2412.57         7.00E-19
2413.07         6.09E-19
2413.56         5.18E-19
2414.06         4.46E-19
2414.55         3.88E-19
2415.05         3.30E-19
2415.54         2.79E-19
2416.04         2.42E-19
2416.54         2.06E-19
2417.03         1.70E-19
2417.53         1.46E-19
2418.02         1.21E-19
2418.52         9.71E-20
2419.01         8.20E-20
2419.51         6.82E-20
2420.00         5.45E-20
2420.50         4.46E-20
2421.00         3.71E-20
2421.49         2.95E-20
2421.99         2.30E-20
2422.48         1.83E-20
2422.98         1.36E-20
2423.47         9.38E-21
2423.97         8.94E-21
2424.46         8.49E-21
2424.96         8.04E-21
2425.46         6.91E-21
2425.95         5.66E-21
2426.45         4.42E-21
2426.94         4.29E-21
2427.44         4.89E-21
2427.93         5.49E-21
2428.43         5.65E-21
2428.93         4.94E-21
2429.42         4.24E-21
2429.92         8.14E-21
2430.41         7.58E-20
2430.91         1.44E-19
2431.40         2.11E-19
2431.90         4.14E-19
2432.39         6.51E-19
2432.89         8.89E-19
2433.39         1.03E-18
2433.88         1.08E-18
2434.38         1.12E-18
2434.87         1.13E-18
2435.37         9.97E-19
2435.86         8.63E-19
2436.36         7.29E-19
2436.86         6.33E-19
2437.35         5.38E-19
2437.85         4.44E-19
2438.34         3.77E-19
2438.84         3.24E-19
2439.33         2.71E-19
2439.83         2.25E-19
2440.32         1.91E-19
2440.82         1.58E-19
2441.32         1.26E-19
2441.81         1.05E-19
2442.31         8.53E-20
2442.80         6.51E-20
2443.30         5.26E-20
2443.79         4.24E-20
2444.29         3.23E-20
2444.78         2.42E-20
2445.28         1.86E-20
2445.78         1.30E-20
2446.27         8.33E-21
2446.77         9.90E-21
2447.26         1.15E-20
2447.76         1.30E-20
2448.25         1.16E-20
2448.75         9.38E-21
2449.25         7.20E-21
2449.74         6.06E-21
2450.24         5.99E-21
2450.73         5.92E-21
2451.23         6.00E-21
2451.72         6.81E-21
2452.22         7.63E-21
2452.71         8.44E-21
2453.21         5.59E-20
2453.71         1.13E-19
2454.20         1.70E-19
2454.70         3.40E-19
2455.19         6.26E-19
2455.69         9.11E-19
2456.18         1.17E-18
2456.68         1.28E-18
2457.18         1.39E-18
2457.67         1.51E-18
2458.17         1.38E-18
2458.66         1.20E-18
2459.16         1.02E-18
2459.65         8.63E-19
2460.15         7.39E-19
2460.64         6.15E-19
2461.14         4.97E-19
2461.64         4.26E-19
2462.13         3.55E-19
2462.63         2.84E-19
2463.12         2.34E-19
2463.62         1.91E-19
2464.11         1.48E-19
2464.61         1.14E-19
2465.10         9.63E-20
2465.60         7.85E-20
2466.10         6.08E-20
2466.59         4.91E-20
2467.09         3.74E-20
2467.58         2.57E-20
2468.08         1.92E-20
2468.57         1.55E-20
2469.07         1.19E-20
2469.57         1.00E-20
2470.06         1.30E-20
2470.56         1.59E-20
2471.05         1.89E-20
2471.55         1.65E-20
2472.04         1.34E-20
2472.54         1.04E-20
2473.03         7.94E-21
2473.53         6.11E-21
2474.03         4.27E-21
2474.52         2.80E-21
2475.02         4.14E-21
2475.51         5.49E-21
2476.01         6.84E-21
2476.50         2.43E-20
2477.00         4.81E-20
2477.49         7.19E-20
2477.99         1.67E-19
2478.49         4.15E-19
2478.98         6.63E-19
2479.48         9.11E-19
2479.97         1.11E-18
2480.47         1.30E-18
2480.96         1.50E-18
2481.46         1.52E-18
2481.96         1.36E-18
2482.45         1.20E-18
2482.95         1.04E-18
2483.44         8.87E-19
2483.94         7.36E-19
2484.43         5.85E-19
2484.93         4.86E-19
2485.42         4.14E-19
2485.92         3.41E-19
2486.42         2.75E-19
2486.91         2.29E-19
2487.41         1.83E-19
2487.90         1.37E-19
2488.40         1.10E-19
2488.89         8.84E-20
2489.39         6.65E-20
2489.89         4.88E-20
2490.38         3.76E-20
2490.88         2.64E-20
2491.37         1.52E-20
2491.87         1.23E-20
2492.36         9.77E-21
2492.86         7.28E-21
2493.35         8.57E-21
2493.85         1.35E-20
2494.35         1.84E-20
2494.84         2.28E-20
2495.34         1.99E-20
2495.83         1.70E-20
2496.33         1.41E-20
2496.82         1.10E-20
2497.32         7.66E-21
2497.81         4.33E-21
2498.31         1.76E-21
2498.81         3.25E-21
2499.30         4.74E-21
2499.80         6.23E-21
2500.29         1.32E-20
2500.79         2.25E-20
2501.28         3.18E-20
2501.78         7.71E-20
2502.28         2.42E-19
2502.77         4.06E-19
2503.27         5.70E-19
2503.76         7.40E-19
2504.26         9.11E-19
2504.75         1.08E-18
2505.25         1.17E-18
2505.74         1.06E-18
2506.24         9.57E-19
2506.74         8.50E-19
2507.23         7.27E-19
2507.73         6.01E-19
2508.22         4.75E-19
2508.72         3.68E-19
2509.21         3.04E-19
2509.71         2.40E-19
2510.21         1.75E-19
2510.70         1.41E-19
2511.20         1.13E-19
2511.69         8.54E-20
2512.19         6.31E-20
2512.68         5.16E-20
2513.18         4.00E-20
2513.67         2.84E-20
2514.17         2.12E-20
2514.67         1.48E-20
2515.16         8.37E-21
2515.66         3.76E-21
2516.15         2.73E-21
2516.65         1.69E-21
2517.14         6.56E-22
2517.64         5.06E-21
2518.13         1.06E-20
2518.63         1.61E-20
2519.13         1.98E-20
2519.62         1.94E-20
2520.12         1.90E-20
2520.61         1.86E-20
2521.11         1.44E-20
2521.60         9.20E-21
2522.10         4.03E-21
2522.60         5.35E-22
2523.09         1.49E-21
2523.59         2.44E-21
2524.08         3.40E-21
2524.58         4.01E-21
2525.07         4.50E-21
2525.57         4.99E-21
2526.06         1.58E-20
2526.56         6.50E-20
2527.06         1.14E-19
2527.55         1.63E-19
2528.05         2.43E-19
2528.54         3.38E-19
2529.04         4.33E-19
2529.53         5.12E-19
2530.03         4.86E-19
2530.52         4.59E-19
2531.02         4.33E-19
2531.52         3.81E-19
2532.01         3.11E-19
2532.51         2.41E-19
2533.00         1.72E-19
2533.50         1.45E-19
2533.99         1.18E-19
2534.49         9.02E-20
2534.99         6.89E-20
2535.48         5.45E-20
2535.98         4.01E-20
2536.47         2.57E-20
2536.97         1.97E-20
2537.46         1.45E-20
2537.96         9.36E-21
2538.45         5.45E-21
2538.95         3.95E-21
2539.45         2.45E-21
2539.94         9.54E-22
2540.44         7.77E-22
2540.93         9.93E-22
2541.43         1.21E-21
2541.92         1.98E-21
2542.42         5.05E-21
2542.92         8.12E-21
2543.41         1.12E-20
2543.91         1.28E-20
2544.40         1.34E-20
2544.90         1.40E-20
2545.39         1.46E-20
2545.89         1.13E-20
2546.38         7.97E-21
2546.88         4.66E-21
2547.38         2.45E-21
2547.87         1.68E-21
2548.37         9.03E-22
2548.86         1.30E-22
2549.36         3.00E-23
2549.85         6.54E-23
2550.35         1.01E-22
2550.84         1.20E-22
2551.34         8.44E-23
2551.84         4.89E-23
2552.33         1.34E-23
2552.83         1.17E-24
2553.32         2.99E-24
2553.82         4.80E-24
2554.31         6.58E-24
2554.81         4.76E-24
2555.31         2.93E-24
2555.80         1.11E-24
2556.30         5.28E-26
2556.79         1.81E-25
2557.29         3.09E-25
2557.78         4.38E-25
2558.28         3.68E-25
2558.77         2.40E-25
2559.27         1.11E-25
2559.77         4.87E-26
2560.26         3.92E-25
2560.76         7.36E-25
2561.25         1.08E-24
2561.75         1.07E-24
2562.24         7.31E-25
2562.74         3.88E-25
2563.23         4.46E-26
2563.73         7.85E-30
2564.23         5.63E-30
2564.72         3.41E-30
2565.22         5.37E-24
2565.71         2.91E-23
2566.21         5.28E-23
2566.70         7.65E-23
2567.20         6.67E-22
2567.70         1.67E-21
2568.19         2.67E-21
2568.69         3.68E-21
2569.18         4.59E-21
2569.68         5.49E-21
2570.17         6.39E-21
2570.67         6.73E-21
2571.16         5.49E-21
2571.66         4.26E-21
2572.16         3.02E-21
2572.65         2.12E-21
2573.15         1.43E-21
2573.64         7.36E-22
2574.14         4.62E-23
2574.63         1.47E-23
2575.13         3.05E-23
2575.63         4.63E-23
2576.12         5.40E-23
2576.62         3.82E-23
2577.11         2.24E-23
2577.61         6.64E-24
2578.10         7.07E-25
2578.60         1.93E-24
2579.09         3.15E-24
2579.59         4.37E-24
2580.09         3.41E-24
2580.58         2.19E-24
2581.08         9.69E-25
2581.57         1.78E-26
2582.07         1.05E-25
2582.56         1.92E-25
2583.06         2.80E-25
2583.55         2.78E-25
2584.05         1.91E-25
2584.55         1.04E-25
2585.04         1.66E-26
2585.54         4.74E-27
2586.03         1.06E-26
2586.53         1.64E-26
2587.02         2.11E-26
2587.52         1.52E-26
2588.02         9.40E-27
2588.51         3.55E-27
2589.01         1.45E-28
2589.50         5.15E-28
2590.00         8.85E-28
2590.49         1.26E-27
2590.99         1.13E-27
2591.48         7.56E-28
2591.98         3.86E-28
2592.48         1.68E-29
2592.97         2.09E-29
2593.47         4.27E-29
2593.96         6.46E-29
2594.46         7.65E-29
2594.95         5.47E-29
2595.45         3.28E-29
2595.95         1.10E-29
2596.44         5.88E-31
2596.94         1.77E-30
2597.43         2.96E-30
2597.93         4.15E-30
2598.42         3.54E-30
2598.92         2.35E-30
2599.41         1.17E-30
2599.91         8.73E-34
2600.41         5.74E-32
2600.90         1.14E-31
2601.40         1.70E-31
2601.89         1.97E-31
2602.39         1.40E-31
2602.88         8.39E-32
2603.38         2.74E-32
2603.87         0.00E+00
2604.37         0.00E+00
2604.87         0.00E+00
2605.36         0.00E+00
2605.86         0.00E+00
2606.35         0.00E+00
2606.85         0.00E+00
2607.34         0.00E+00
2607.84         0.00E+00
2608.34         0.00E+00
2608.83         0.00E+00
2609.33         0.00E+00
2609.82         0.00E+00
2610.32         0.00E+00
2610.81         0.00E+00
2611.31         0.00E+00
2611.80         0.00E+00
2612.30         0.00E+00
2612.80         0.00E+00
2613.29         0.00E+00
2613.79         0.00E+00
2614.28         0.00E+00
2614.78         0.00E+00
2615.27         0.00E+00
2615.77         0.00E+00
2616.26         0.00E+00
2616.76         0.00E+00
2617.26         0.00E+00
2617.75         0.00E+00
2618.25         0.00E+00
2618.74         0.00E+00
2619.24         0.00E+00
2619.73         0.00E+00
2620.23         0.00E+00
2620.73         0.00E+00
2621.22         0.00E+00
2621.72         0.00E+00
2622.21         0.00E+00
2622.71         0.00E+00
2623.20         0.00E+00
2623.70         0.00E+00
2624.19         0.00E+00
2624.69         0.00E+00
2625.19         0.00E+00
2625.68         0.00E+00
2626.18         0.00E+00
2626.67         0.00E+00
2627.17         0.00E+00
2627.66         0.00E+00
2628.16         0.00E+00
2628.66         0.00E+00
2629.15         0.00E+00
2629.65         0.00E+00
2630.14         0.00E+00
2630.64         0.00E+00
2631.13         0.00E+00
2631.63         0.00E+00
2632.12         0.00E+00
2632.62         0.00E+00
2633.12         0.00E+00
2633.61         0.00E+00
2634.11         0.00E+00
2634.60         0.00E+00
2635.10         0.00E+00
2635.59         0.00E+00
2636.09         0.00E+00
2636.58         0.00E+00
2637.08         0.00E+00
2637.58         0.00E+00
2638.07         0.00E+00
2638.57         0.00E+00
2639.06         0.00E+00
2639.56         0.00E+00
2640.05         0.00E+00
2640.55         0.00E+00
2641.05         0.00E+00
2641.54         0.00E+00
2642.04         0.00E+00
2642.53         0.00E+00
2643.03         0.00E+00
2643.52         0.00E+00
2644.02         0.00E+00
2644.51         0.00E+00
2645.01         0.00E+00
2645.51         0.00E+00
2646.00         0.00E+00
2646.50         0.00E+00
2646.99         0.00E+00
2647.49         0.00E+00
2647.98         0.00E+00
2648.48         0.00E+00
2648.97         0.00E+00
2649.47         0.00E+00
2649.97         0.00E+00
2650.46         0.00E+00
2650.96         0.00E+00
2651.45         0.00E+00
2651.95         0.00E+00
2652.44         0.00E+00
2652.94         0.00E+00
2653.44         0.00E+00
2653.93         0.00E+00
2654.43         0.00E+00
2654.92         0.00E+00
2655.42         0.00E+00
2655.91         0.00E+00
2656.41         0.00E+00
2656.90         0.00E+00
2657.40         0.00E+00
2657.90         0.00E+00
2658.39         0.00E+00
2658.89         0.00E+00
2659.38         0.00E+00
2659.88         0.00E+00
2660.37         0.00E+00
2660.87         0.00E+00
2661.37         0.00E+00
2661.86         0.00E+00
2662.36         0.00E+00
2662.85         0.00E+00
2663.35         0.00E+00
2663.84         0.00E+00
2664.34         0.00E+00
2664.83         0.00E+00
2665.33         0.00E+00
2665.83         0.00E+00
2666.32         0.00E+00
2666.82         0.00E+00
2667.31         0.00E+00
2667.81         0.00E+00
2668.30         0.00E+00
2668.80         0.00E+00
2669.29         0.00E+00
2669.79         0.00E+00
2670.29         0.00E+00
2670.78         0.00E+00
2671.28         0.00E+00
2671.77         0.00E+00
2672.27         0.00E+00
2672.76         0.00E+00
2673.26         0.00E+00
2673.76         0.00E+00
2674.25         0.00E+00
2674.75         0.00E+00
2675.24         0.00E+00
2675.74         0.00E+00
2676.23         0.00E+00
2676.73         0.00E+00
2677.22         0.00E+00
2677.72         0.00E+00
2678.22         0.00E+00
2678.71         0.00E+00
2679.21         0.00E+00
2679.70         0.00E+00
2680.20         0.00E+00
2680.69         0.00E+00
2681.19         0.00E+00
2681.69         0.00E+00
2682.18         0.00E+00
2682.68         0.00E+00
2683.17         0.00E+00
2683.67         0.00E+00
2684.16         0.00E+00
2684.66         0.00E+00
2685.15         0.00E+00
2685.65         0.00E+00
2686.15         0.00E+00
2686.64         0.00E+00
2687.14         0.00E+00
2687.63         0.00E+00
2688.13         0.00E+00
2688.62         0.00E+00
2689.12         0.00E+00
2689.61         0.00E+00
2690.11         0.00E+00
2690.61         0.00E+00
2691.10         0.00E+00
2691.60         0.00E+00
2692.09         0.00E+00
2692.59         0.00E+00
2693.08         0.00E+00
2693.58         0.00E+00
2694.08         0.00E+00
2694.57         0.00E+00
2695.07         0.00E+00
2695.56         0.00E+00
2696.06         0.00E+00
2696.55         0.00E+00
2697.05         0.00E+00
2697.54         0.00E+00
2698.04         0.00E+00
2698.54         0.00E+00
2699.03         0.00E+00
2699.53         0.00E+00
2700.02         0.00E+00
2700.52         0.00E+00
2701.01         0.00E+00
2701.51         0.00E+00
2702.00         0.00E+00
2702.50         0.00E+00
2703.00         0.00E+00
2703.49         0.00E+00
2703.99         0.00E+00
2704.48         0.00E+00
2704.98         0.00E+00
2705.47         0.00E+00
2705.97         0.00E+00
2706.47         0.00E+00
2706.96         0.00E+00
2707.46         0.00E+00
2707.95         0.00E+00
2708.45         0.00E+00
2708.94         0.00E+00
2709.44         0.00E+00
2709.93         0.00E+00
2710.43         0.00E+00
2710.93         0.00E+00
2711.42         0.00E+00
2711.92         0.00E+00
2712.41         0.00E+00
2712.91         0.00E+00
2713.40         0.00E+00
2713.90         0.00E+00
2714.40         0.00E+00
2714.89         0.00E+00
2715.39         0.00E+00
2715.88         0.00E+00
2716.38         0.00E+00
2716.87         0.00E+00
2717.37         0.00E+00
2717.86         0.00E+00
2718.36         0.00E+00
2718.86         0.00E+00
2719.35         0.00E+00
2719.85         0.00E+00
2720.34         0.00E+00
2720.84         0.00E+00
2721.33         0.00E+00
2721.83         0.00E+00
2722.32         0.00E+00
2722.82         0.00E+00
2723.32         0.00E+00
2723.81         0.00E+00
2724.31         0.00E+00
2724.80         0.00E+00
2725.30         0.00E+00
2725.79         0.00E+00
2726.29         0.00E+00
2726.79         0.00E+00
2727.28         0.00E+00
2727.78         0.00E+00
2728.27         0.00E+00
2728.77         0.00E+00
2729.26         0.00E+00
2729.76         0.00E+00
2730.25         0.00E+00
2730.75         0.00E+00
2731.25         0.00E+00
2731.74         0.00E+00
2732.24         0.00E+00
2732.73         0.00E+00
2733.23         0.00E+00
2733.72         0.00E+00
2734.22         0.00E+00
2734.72         0.00E+00
2735.21         0.00E+00
2735.71         0.00E+00
2736.20         0.00E+00
2736.70         0.00E+00
2737.19         0.00E+00
2737.69         0.00E+00
2738.18         0.00E+00
2738.68         0.00E+00
2739.18         0.00E+00
2739.67         0.00E+00
2740.17         0.00E+00
2740.66         0.00E+00
2741.16         0.00E+00
2741.65         0.00E+00
2742.15         0.00E+00
2742.64         0.00E+00
2743.14         0.00E+00
2743.64         0.00E+00
2744.13         0.00E+00
2744.63         0.00E+00
2745.12         0.00E+00
2745.62         0.00E+00
2746.11         0.00E+00
2746.61         0.00E+00
2747.11         0.00E+00
2747.60         0.00E+00
2748.10         0.00E+00
2748.59         0.00E+00
2749.09         0.00E+00
2749.58         0.00E+00
2750.08         0.00E+00
2750.57         0.00E+00
2751.07         0.00E+00
2751.57         0.00E+00
2752.06         0.00E+00
2752.56         0.00E+00
2753.05         0.00E+00
2753.55         0.00E+00
2754.04         0.00E+00
2754.54         0.00E+00
2755.03         0.00E+00
2755.53         0.00E+00
2756.03         0.00E+00
2756.52         0.00E+00
2757.02         0.00E+00
2757.51         0.00E+00
2758.01         0.00E+00
2758.50         0.00E+00
2759.00         0.00E+00
2759.50         0.00E+00
2759.99         0.00E+00
2760.49         0.00E+00
2760.98         0.00E+00
2761.48         0.00E+00
2761.97         0.00E+00
2762.47         0.00E+00
2762.96         0.00E+00
2763.46         0.00E+00
2763.96         0.00E+00
2764.45         0.00E+00
2764.95         0.00E+00
2765.44         0.00E+00
2765.94         0.00E+00
2766.43         0.00E+00
2766.93         0.00E+00
2767.43         0.00E+00
2767.92         0.00E+00
2768.42         0.00E+00
2768.91         0.00E+00
2769.41         0.00E+00
2769.90         0.00E+00
2770.40         0.00E+00
2770.89         0.00E+00
2771.39         0.00E+00
2771.89         0.00E+00
2772.38         0.00E+00
2772.88         0.00E+00
2773.37         0.00E+00
2773.87         0.00E+00
2774.36         0.00E+00
2774.86         0.00E+00
2775.35         0.00E+00
2775.85         0.00E+00
2776.35         0.00E+00
2776.84         0.00E+00
2777.34         0.00E+00
2777.83         0.00E+00
2778.33         0.00E+00
2778.82         0.00E+00
2779.32         0.00E+00
2779.82         0.00E+00
2780.31         0.00E+00
2780.81         0.00E+00
2781.30         0.00E+00
2781.80         0.00E+00
2782.29         0.00E+00
2782.79         0.00E+00
2783.28         0.00E+00
2783.78         0.00E+00
2784.28         0.00E+00
2784.77         0.00E+00
2785.27         0.00E+00
2785.76         0.00E+00
2786.26         0.00E+00
2786.75         0.00E+00
2787.25         0.00E+00
2787.74         0.00E+00
2788.24         0.00E+00
2788.74         0.00E+00
2789.23         0.00E+00
2789.73         0.00E+00
2790.22         0.00E+00
2790.72         0.00E+00
2791.21         0.00E+00
2791.71         0.00E+00
2792.21         0.00E+00
2792.70         0.00E+00
2793.20         0.00E+00
2793.69         0.00E+00
2794.19         0.00E+00
2794.68         0.00E+00
2795.18         0.00E+00
2795.67         0.00E+00
2796.17         0.00E+00
2796.67         0.00E+00
2797.16         0.00E+00
2797.66         0.00E+00
2798.15         0.00E+00
2798.65         0.00E+00
2799.14         0.00E+00
2799.64         0.00E+00
2800.14         0.00E+00
2800.63         0.00E+00
2801.13         0.00E+00
2801.62         0.00E+00
2802.12         0.00E+00
2802.61         0.00E+00
2803.11         0.00E+00
2803.60         0.00E+00
2804.10         0.00E+00
2804.60         0.00E+00
2805.09         0.00E+00
2805.59         0.00E+00
2806.08         0.00E+00
2806.58         0.00E+00
2807.07         0.00E+00
2807.57         0.00E+00
2808.06         0.00E+00
2808.56         0.00E+00
2809.06         0.00E+00
2809.55         0.00E+00
2810.05         0.00E+00
2810.54         0.00E+00
2811.04         0.00E+00
2811.53         0.00E+00
2812.03         0.00E+00
2812.53         0.00E+00
2813.02         0.00E+00
2813.52         0.00E+00
2814.01         0.00E+00
2814.51         0.00E+00
2815.00         0.00E+00
2815.50         0.00E+00
2815.99         0.00E+00
2816.49         0.00E+00
2816.99         0.00E+00
2817.48         0.00E+00
2817.98         0.00E+00
2818.47         0.00E+00
2818.97         0.00E+00
2819.46         0.00E+00
2819.96         0.00E+00
2820.46         0.00E+00
2820.95         0.00E+00
2821.45         0.00E+00
2821.94         0.00E+00
2822.44         0.00E+00
2822.93         0.00E+00
2823.43         0.00E+00
2823.92         0.00E+00
2824.42         0.00E+00
2824.92         0.00E+00
2825.41         0.00E+00
2825.91         0.00E+00
2826.40         0.00E+00
2826.90         0.00E+00
2827.39         0.00E+00
2827.89         0.00E+00
2828.38         0.00E+00
2828.88         0.00E+00
2829.38         0.00E+00
2829.87         0.00E+00
2830.37         0.00E+00
2830.86         0.00E+00
2831.36         0.00E+00
2831.85         0.00E+00
2832.35         0.00E+00
2832.85         0.00E+00
2833.34         0.00E+00
2833.84         0.00E+00
2834.33         0.00E+00
2834.83         0.00E+00
2835.32         0.00E+00
2835.82         0.00E+00
2836.31         0.00E+00
2836.81         0.00E+00
2837.31         0.00E+00
2837.80         0.00E+00
2838.30         0.00E+00
2838.79         0.00E+00
2839.29         0.00E+00
2839.78         0.00E+00
2840.28         0.00E+00
2840.77         0.00E+00
2841.27         0.00E+00
2841.77         0.00E+00
2842.26         0.00E+00
2842.76         0.00E+00
2843.25         0.00E+00
2843.75         0.00E+00
2844.24         0.00E+00
2844.74         0.00E+00
2845.24         0.00E+00
2845.73         0.00E+00
2846.23         0.00E+00
2846.72         0.00E+00
2847.22         0.00E+00
2847.71         0.00E+00
2848.21         0.00E+00
2848.70         0.00E+00
2849.20         0.00E+00
2849.70         0.00E+00
2850.19         0.00E+00
2850.69         0.00E+00
2851.18         0.00E+00
2851.68         0.00E+00
2852.17         0.00E+00
2852.67         0.00E+00
2853.17         0.00E+00
2853.66         0.00E+00
2854.16         0.00E+00
2854.65         0.00E+00
2855.15         0.00E+00
2855.64         0.00E+00
2856.14         0.00E+00
2856.63         0.00E+00
2857.13         0.00E+00
2857.63         0.00E+00
2858.12         0.00E+00
2858.62         0.00E+00
2859.11         0.00E+00
2859.61         0.00E+00
2860.10         0.00E+00
2860.60         0.00E+00
2861.09         0.00E+00
2861.59         0.00E+00
2862.09         0.00E+00
2862.58         0.00E+00
2863.08         0.00E+00
2863.57         0.00E+00
2864.07         0.00E+00
2864.56         0.00E+00
2865.06         0.00E+00
2865.56         0.00E+00
2866.05         0.00E+00
2866.55         0.00E+00
2867.04         0.00E+00
2867.54         0.00E+00
2868.03         0.00E+00
2868.53         0.00E+00
2869.02         0.00E+00
2869.52         0.00E+00
2870.02         0.00E+00
2870.51         0.00E+00
2871.01         0.00E+00
2871.50         0.00E+00
2872.00         0.00E+00
2872.49         0.00E+00
2872.99         0.00E+00
2873.49         0.00E+00
2873.98         0.00E+00
2874.48         0.00E+00
2874.97         0.00E+00
2875.47         0.00E+00
2875.96         0.00E+00
2876.46         0.00E+00
2876.95         0.00E+00
2877.45         0.00E+00
2877.95         0.00E+00
2878.44         0.00E+00
2878.94         0.00E+00
2879.43         0.00E+00
2879.93         0.00E+00
2880.42         0.00E+00
2880.92         0.00E+00
2881.41         0.00E+00
2881.91         0.00E+00
2882.41         0.00E+00
2882.90         0.00E+00
2883.40         0.00E+00
2883.89         0.00E+00
2884.39         0.00E+00
2884.88         0.00E+00
2885.38         0.00E+00
2885.88         0.00E+00
2886.37         0.00E+00
2886.87         0.00E+00
2887.36         0.00E+00
2887.86         0.00E+00
2888.35         0.00E+00
2888.85         0.00E+00
2889.34         0.00E+00
2889.84         0.00E+00
2890.34         0.00E+00
2890.83         0.00E+00
2891.33         0.00E+00
2891.82         0.00E+00
2892.32         0.00E+00
2892.81         0.00E+00
2893.31         0.00E+00
2893.80         0.00E+00
2894.30         0.00E+00
2894.80         0.00E+00
2895.29         0.00E+00
2895.79         0.00E+00
2896.28         0.00E+00
2896.78         0.00E+00
2897.27         0.00E+00
2897.77         0.00E+00
2898.27         0.00E+00
2898.76         0.00E+00
2899.26         0.00E+00
2899.75         0.00E+00
2900.25         0.00E+00
2900.74         0.00E+00
2901.24         0.00E+00
2901.73         0.00E+00
2902.23         0.00E+00
2902.73         0.00E+00
2903.22         0.00E+00
2903.72         0.00E+00
2904.21         0.00E+00
2904.71         0.00E+00
2905.20         0.00E+00
2905.70         0.00E+00
2906.20         0.00E+00
2906.69         0.00E+00
2907.19         0.00E+00
2907.68         0.00E+00
2908.18         0.00E+00
2908.67         0.00E+00
2909.17         0.00E+00
2909.66         0.00E+00
2910.16         0.00E+00
2910.66         0.00E+00
2911.15         0.00E+00
2911.65         0.00E+00
2912.14         0.00E+00
2912.64         0.00E+00
2913.13         0.00E+00
2913.63         0.00E+00
2914.12         0.00E+00
2914.62         0.00E+00
2915.12         0.00E+00
2915.61         0.00E+00
2916.11         0.00E+00
2916.60         0.00E+00
2917.10         0.00E+00
2917.59         0.00E+00
2918.09         0.00E+00
2918.59         0.00E+00
2919.08         0.00E+00
2919.58         0.00E+00
2920.07         0.00E+00
2920.57         0.00E+00
2921.06         0.00E+00
2921.56         0.00E+00
2922.05         0.00E+00
2922.55         0.00E+00
2923.05         0.00E+00
2923.54         0.00E+00
2924.04         0.00E+00
2924.53         0.00E+00
2925.03         0.00E+00
2925.52         0.00E+00
2926.02         0.00E+00
2926.51         0.00E+00
2927.01         0.00E+00
2927.51         0.00E+00
2928.00         0.00E+00
2928.50         0.00E+00
2928.99         0.00E+00
2929.49         0.00E+00
2929.98         0.00E+00
2930.48         0.00E+00
2930.98         0.00E+00
2931.47         0.00E+00
2931.97         0.00E+00
2932.46         0.00E+00
2932.96         0.00E+00
2933.45         0.00E+00
2933.95         0.00E+00
2934.44         0.00E+00
2934.94         0.00E+00
2935.44         0.00E+00
2935.93         0.00E+00
2936.43         0.00E+00
2936.92         0.00E+00
2937.42         0.00E+00
2937.91         0.00E+00
2938.41         0.00E+00
2938.91         0.00E+00
2939.40         0.00E+00
2939.90         0.00E+00
2940.39         0.00E+00
2940.89         0.00E+00
2941.38         0.00E+00
2941.88         0.00E+00
2942.37         0.00E+00
2942.87         0.00E+00
2943.37         0.00E+00
2943.86         0.00E+00
2944.36         0.00E+00
2944.85         0.00E+00
2945.35         0.00E+00
2945.84         0.00E+00
2946.34         0.00E+00
2946.83         0.00E+00
2947.33         0.00E+00
2947.83         0.00E+00
