0 Branching ratio for SO      S/O        0 branches     
Lambda   S/O
1930.84         2.49E-18
1931.34         2.31E-18
1931.83         2.42E-18
1932.33         2.73E-18
1932.82         3.61E-18
1933.32         4.37E-18
1933.81         4.61E-18
1934.31         4.82E-18
1934.81         4.87E-18
1935.30         4.94E-18
1935.80         5.45E-18
1936.29         5.96E-18
1936.79         5.79E-18
1937.28         5.59E-18
1937.78         5.14E-18
1938.27         4.66E-18
1938.77         5.03E-18
1939.27         5.61E-18
1939.76         6.43E-18
1940.26         7.34E-18
1940.75         7.38E-18
1941.25         6.93E-18
1941.74         6.52E-18
1942.24         6.16E-18
1942.73         6.41E-18
1943.23         7.38E-18
1943.73         8.29E-18
1944.22         9.10E-18
1944.72         9.46E-18
1945.21         8.65E-18
1945.71         7.86E-18
1946.20         7.13E-18
1946.70         6.41E-18
1947.20         5.87E-18
1947.69         5.34E-18
1948.19         4.96E-18
1948.68         4.59E-18
1949.18         4.22E-18
1949.67         3.86E-18
1950.17         4.04E-18
1950.66         4.37E-18
1951.16         4.85E-18
1951.66         5.38E-18
1952.15         5.53E-18
1952.65         5.35E-18
1953.14         5.15E-18
1953.64         4.92E-18
1954.13         4.65E-18
1954.63         4.26E-18
1955.13         3.90E-18
1955.62         3.64E-18
1956.12         3.37E-18
1956.61         3.19E-18
1957.11         3.00E-18
1957.60         3.88E-18
1958.10         4.79E-18
1958.59         6.84E-18
1959.09         9.10E-18
1959.59         9.76E-18
1960.08         9.80E-18
1960.58         9.26E-18
1961.07         8.34E-18
1961.57         7.48E-18
1962.06         6.68E-18
1962.56         6.07E-18
1963.05         5.87E-18
1963.55         6.09E-18
1964.05         8.06E-18
1964.54         1.00E-17
1965.04         1.15E-17
1965.53         1.30E-17
1966.03         1.22E-17
1966.52         1.11E-17
1967.02         9.08E-18
1967.52         6.75E-18
1968.01         4.79E-18
1968.51         3.05E-18
1969.00         2.24E-18
1969.50         2.40E-18
1969.99         3.25E-18
1970.49         5.49E-18
1970.98         7.59E-18
1971.48         9.09E-18
1971.98         1.05E-17
1972.47         9.60E-18
1972.97         8.69E-18
1973.46         7.84E-18
1973.96         7.00E-18
1974.45         6.33E-18
1974.95         5.72E-18
1975.44         5.19E-18
1975.94         4.71E-18
1976.44         5.09E-18
1976.93         6.81E-18
1977.43         8.67E-18
1977.92         1.10E-17
1978.42         1.32E-17
1978.91         1.27E-17
1979.41         1.23E-17
1979.91         1.13E-17
1980.40         1.01E-17
1980.90         9.26E-18
1981.39         8.46E-18
1981.89         7.86E-18
1982.38         7.43E-18
1982.88         7.89E-18
1983.37         9.91E-18
1983.87         1.19E-17
1984.37         1.37E-17
1984.86         1.56E-17
1985.36         1.43E-17
1985.85         1.31E-17
1986.35         1.18E-17
1986.84         1.04E-17
1987.34         9.16E-18
1987.84         8.05E-18
1988.33         7.09E-18
1988.83         6.34E-18
1989.32         5.68E-18
1989.82         5.27E-18
1990.31         4.92E-18
1990.81         5.49E-18
1991.30         6.07E-18
1991.80         6.65E-18
1992.30         7.23E-18
1992.79         7.10E-18
1993.29         6.62E-18
1993.78         6.10E-18
1994.28         5.53E-18
1994.77         4.98E-18
1995.27         4.46E-18
1995.76         4.00E-18
1996.26         4.61E-18
1996.76         5.22E-18
1997.25         9.54E-18
1997.75         1.45E-17
1998.24         1.84E-17
1998.74         2.17E-17
1999.23         2.27E-17
1999.73         2.05E-17
2000.23         1.82E-17
2000.72         1.59E-17
2001.22         1.35E-17
2001.71         1.19E-17
2002.21         1.03E-17
2002.70         9.08E-18
2003.20         7.93E-18
2003.69         7.05E-18
2004.19         6.40E-18
2004.69         5.77E-18
2005.18         5.19E-18
2005.68         4.63E-18
2006.17         4.20E-18
2006.67         3.77E-18
2007.16         3.47E-18
2007.66         3.20E-18
2008.15         2.83E-18
2008.65         2.42E-18
2009.15         2.09E-18
2009.64         1.89E-18
2010.14         1.67E-18
2010.63         1.41E-18
2011.13         1.15E-18
2011.62         1.86E-18
2012.12         2.67E-18
2012.62         7.45E-18
2013.11         1.42E-17
2013.61         2.02E-17
2014.10         2.55E-17
2014.60         2.94E-17
2015.09         2.71E-17
2015.59         2.48E-17
2016.08         2.16E-17
2016.58         1.84E-17
2017.08         1.58E-17
2017.57         1.37E-17
2018.07         1.17E-17
2018.56         9.96E-18
2019.06         8.35E-18
2019.55         7.32E-18
2020.05         6.30E-18
2020.55         5.61E-18
2021.04         4.94E-18
2021.54         4.43E-18
2022.03         4.00E-18
2022.53         3.66E-18
2023.02         3.47E-18
2023.52         3.27E-18
2024.01         2.88E-18
2024.51         2.50E-18
2025.01         2.22E-18
2025.50         1.95E-18
2026.00         1.65E-18
2026.49         1.32E-18
2026.99         1.00E-18
2027.48         7.31E-19
2027.98         4.64E-19
2028.47         4.34E-19
2028.97         4.03E-19
2029.47         4.10E-19
2029.96         4.30E-19
2030.46         2.38E-18
2030.95         6.64E-18
2031.45         1.15E-17
2031.94         1.91E-17
2032.44         2.66E-17
2032.94         2.76E-17
2033.43         2.78E-17
2033.93         2.58E-17
2034.42         2.25E-17
2034.92         1.93E-17
2035.41         1.66E-17
2035.91         1.39E-17
2036.40         1.21E-17
2036.90         1.02E-17
2037.40         8.94E-18
2037.89         7.87E-18
2038.39         6.98E-18
2038.88         6.32E-18
2039.38         5.71E-18
2039.87         5.50E-18
2040.37         5.29E-18
2040.87         5.77E-18
2041.36         6.43E-18
2041.86         7.09E-18
2042.35         7.74E-18
2042.85         8.23E-18
2043.34         7.97E-18
2043.84         7.72E-18
2044.33         6.62E-18
2044.83         5.39E-18
2045.33         4.07E-18
2045.82         2.68E-18
2046.32         1.48E-18
2046.81         8.97E-19
2047.31         3.16E-19
2047.80         2.08E-19
2048.30         1.48E-19
2048.79         1.48E-19
2049.29         1.92E-19
2049.79         4.33E-19
2050.28         1.24E-18
2050.78         2.05E-18
2051.27         7.62E-18
2051.77         1.36E-17
2052.26         1.90E-17
2052.76         2.41E-17
2053.26         2.72E-17
2053.75         2.50E-17
2054.25         2.29E-17
2054.74         1.99E-17
2055.24         1.68E-17
2055.73         1.44E-17
2056.23         1.24E-17
