0 Branching ratio for H2S       Total        1 branches    
Lambda          Total          SH/H
1882.27         4.57E-18        4.57E-18
1882.77         4.57E-18        4.57E-18
1883.26         4.57E-18        4.57E-18
1883.76         4.58E-18        4.58E-18
1884.25         4.60E-18        4.60E-18
1884.75         4.60E-18        4.60E-18
1885.24         4.61E-18        4.61E-18
1885.74         4.64E-18        4.64E-18
1886.24         4.65E-18        4.65E-18
1886.73         4.65E-18        4.65E-18
1887.23         4.66E-18        4.66E-18
1887.72         4.67E-18        4.67E-18
1888.22         4.69E-18        4.69E-18
1888.71         4.72E-18        4.72E-18
1889.21         4.73E-18        4.73E-18
1889.70         4.74E-18        4.74E-18
1890.20         4.76E-18        4.76E-18
1890.70         4.79E-18        4.79E-18
1891.19         4.80E-18        4.80E-18
1891.69         4.82E-18        4.82E-18
1892.18         4.84E-18        4.84E-18
1892.68         4.87E-18        4.87E-18
1893.17         4.89E-18        4.89E-18
1893.67         4.92E-18        4.92E-18
1894.17         4.94E-18        4.94E-18
1894.66         4.98E-18        4.98E-18
1895.16         5.01E-18        5.01E-18
1895.65         5.04E-18        5.04E-18
1896.15         5.06E-18        5.06E-18
1896.64         5.10E-18        5.10E-18
1897.14         5.14E-18        5.14E-18
1897.63         5.16E-18        5.16E-18
1898.13         5.19E-18        5.19E-18
1898.63         5.25E-18        5.25E-18
1899.12         5.28E-18        5.28E-18
1899.62         5.31E-18        5.31E-18
1900.11         5.34E-18        5.34E-18
1900.61         5.38E-18        5.38E-18
1901.10         5.42E-18        5.42E-18
1901.60         5.45E-18        5.45E-18
1902.10         5.49E-18        5.49E-18
1902.59         5.53E-18        5.53E-18
1903.09         5.56E-18        5.56E-18
1903.58         5.58E-18        5.58E-18
1904.08         5.62E-18        5.62E-18
1904.57         5.66E-18        5.66E-18
1905.07         5.69E-18        5.69E-18
1905.56         5.72E-18        5.72E-18
1906.06         5.75E-18        5.75E-18
1906.56         5.78E-18        5.78E-18
1907.05         5.80E-18        5.80E-18
1907.55         5.83E-18        5.83E-18
1908.04         5.86E-18        5.86E-18
1908.54         5.89E-18        5.89E-18
1909.03         5.91E-18        5.91E-18
1909.53         5.93E-18        5.93E-18
1910.02         5.96E-18        5.96E-18
1910.52         5.99E-18        5.99E-18
1911.02         6.01E-18        6.01E-18
1911.51         6.02E-18        6.02E-18
1912.01         6.04E-18        6.04E-18
1912.50         6.05E-18        6.05E-18
1913.00         6.06E-18        6.06E-18
1913.49         6.09E-18        6.09E-18
1913.99         6.09E-18        6.09E-18
1914.49         6.11E-18        6.11E-18
1914.98         6.12E-18        6.12E-18
1915.48         6.13E-18        6.13E-18
1915.97         6.14E-18        6.14E-18
1916.47         6.15E-18        6.15E-18
1916.96         6.15E-18        6.15E-18
1917.46         6.15E-18        6.15E-18
1917.95         6.16E-18        6.16E-18
1918.45         6.16E-18        6.16E-18
1918.95         6.15E-18        6.15E-18
1919.44         6.16E-18        6.16E-18
1919.94         6.16E-18        6.16E-18
1920.43         6.16E-18        6.16E-18
1920.93         6.15E-18        6.15E-18
1921.42         6.15E-18        6.15E-18
1921.92         6.17E-18        6.17E-18
1922.41         6.16E-18        6.16E-18
1922.91         6.14E-18        6.14E-18
1923.41         6.15E-18        6.15E-18
1923.90         6.14E-18        6.14E-18
1924.40         6.14E-18        6.14E-18
1924.89         6.14E-18        6.14E-18
1925.39         6.14E-18        6.14E-18
1925.88         6.13E-18        6.13E-18
1926.38         6.13E-18        6.13E-18
1926.88         6.13E-18        6.13E-18
1927.37         6.13E-18        6.13E-18
1927.87         6.12E-18        6.12E-18
1928.36         6.12E-18        6.12E-18
1928.86         6.12E-18        6.12E-18
1929.35         6.12E-18        6.12E-18
1929.85         6.12E-18        6.12E-18
1930.34         6.12E-18        6.12E-18
1930.84         6.12E-18        6.12E-18
1931.34         6.12E-18        6.12E-18
1931.83         6.14E-18        6.14E-18
1932.33         6.15E-18        6.15E-18
1932.82         6.15E-18        6.15E-18
1933.32         6.15E-18        6.15E-18
1933.81         6.16E-18        6.16E-18
1934.31         6.17E-18        6.17E-18
1934.81         6.19E-18        6.19E-18
1935.30         6.20E-18        6.20E-18
1935.80         6.21E-18        6.21E-18
1936.29         6.22E-18        6.22E-18
1936.79         6.24E-18        6.24E-18
1937.28         6.26E-18        6.26E-18
1937.78         6.27E-18        6.27E-18
1938.27         6.29E-18        6.29E-18
1938.77         6.30E-18        6.30E-18
1939.27         6.33E-18        6.33E-18
1939.76         6.35E-18        6.35E-18
1940.26         6.37E-18        6.37E-18
1940.75         6.40E-18        6.40E-18
1941.25         6.43E-18        6.43E-18
1941.74         6.46E-18        6.46E-18
1942.24         6.47E-18        6.47E-18
