0 Branching ratio for H2S       Total        1 branches    
Lambda          Total          SH/H
2345.17         2.38E-19        2.38E-19
2345.66         2.37E-19        2.37E-19
2346.16         2.35E-19        2.35E-19
2346.65         2.34E-19        2.34E-19
2347.15         2.32E-19        2.32E-19
2347.65         2.30E-19        2.30E-19
2348.14         2.28E-19        2.28E-19
2348.64         2.27E-19        2.27E-19
2349.13         2.25E-19        2.25E-19
2349.63         2.24E-19        2.24E-19
2350.12         2.22E-19        2.22E-19
2350.62         2.20E-19        2.20E-19
2351.12         2.19E-19        2.19E-19
2351.61         2.17E-19        2.17E-19
2352.11         2.16E-19        2.16E-19
2352.60         2.15E-19        2.15E-19
2353.10         2.13E-19        2.13E-19
2353.59         2.12E-19        2.12E-19
2354.09         2.10E-19        2.10E-19
2354.58         2.09E-19        2.09E-19
2355.08         2.08E-19        2.08E-19
2355.58         2.06E-19        2.06E-19
2356.07         2.05E-19        2.05E-19
2356.57         2.03E-19        2.03E-19
2357.06         2.01E-19        2.01E-19
2357.56         2.00E-19        2.00E-19
2358.05         1.99E-19        1.99E-19
2358.55         1.97E-19        1.97E-19
2359.04         1.96E-19        1.96E-19
2359.54         1.95E-19        1.95E-19
2360.04         1.93E-19        1.93E-19
2360.53         1.92E-19        1.92E-19
2361.03         1.90E-19        1.90E-19
2361.52         1.88E-19        1.88E-19
2362.02         1.87E-19        1.87E-19
2362.51         1.86E-19        1.86E-19
2363.01         1.85E-19        1.85E-19
2363.51         1.83E-19        1.83E-19
2364.00         1.82E-19        1.82E-19
2364.50         1.81E-19        1.81E-19
2364.99         1.79E-19        1.79E-19
2365.49         1.78E-19        1.78E-19
2365.98         1.77E-19        1.77E-19
2366.48         1.75E-19        1.75E-19
2366.97         1.74E-19        1.74E-19
2367.47         1.73E-19        1.73E-19
2367.97         1.72E-19        1.72E-19
2368.46         1.71E-19        1.71E-19
2368.96         1.69E-19        1.69E-19
2369.45         1.68E-19        1.68E-19
2369.95         1.67E-19        1.67E-19
2370.44         1.66E-19        1.66E-19
2370.94         1.64E-19        1.64E-19
2371.44         1.63E-19        1.63E-19
2371.93         1.62E-19        1.62E-19
2372.43         1.60E-19        1.60E-19
2372.92         1.59E-19        1.59E-19
2373.42         1.58E-19        1.58E-19
2373.91         1.57E-19        1.57E-19
2374.41         1.56E-19        1.56E-19
2374.90         1.54E-19        1.54E-19
2375.40         1.53E-19        1.53E-19
2375.90         1.52E-19        1.52E-19
2376.39         1.51E-19        1.51E-19
2376.89         1.50E-19        1.50E-19
2377.38         1.49E-19        1.49E-19
2377.88         1.48E-19        1.48E-19
2378.37         1.47E-19        1.47E-19
2378.87         1.45E-19        1.45E-19
2379.36         1.44E-19        1.44E-19
2379.86         1.43E-19        1.43E-19
2380.36         1.42E-19        1.42E-19
2380.85         1.41E-19        1.41E-19
2381.35         1.40E-19        1.40E-19
2381.84         1.39E-19        1.39E-19
2382.34         1.38E-19        1.38E-19
2382.83         1.37E-19        1.37E-19
2383.33         1.36E-19        1.36E-19
2383.83         1.35E-19        1.35E-19
2384.32         1.34E-19        1.34E-19
2384.82         1.33E-19        1.33E-19
2385.31         1.32E-19        1.32E-19
2385.81         1.30E-19        1.30E-19
2386.30         1.30E-19        1.30E-19
2386.80         1.29E-19        1.29E-19
2387.29         1.27E-19        1.27E-19
2387.79         1.27E-19        1.27E-19
2388.29         1.26E-19        1.26E-19
2388.78         1.25E-19        1.25E-19
2389.28         1.24E-19        1.24E-19
2389.77         1.23E-19        1.23E-19
2390.27         1.22E-19        1.22E-19
2390.76         1.21E-19        1.21E-19
2391.26         1.20E-19        1.20E-19
2391.75         1.19E-19        1.19E-19
2392.25         1.18E-19        1.18E-19
2392.75         1.18E-19        1.18E-19
2393.24         1.17E-19        1.17E-19
2393.74         1.16E-19        1.16E-19
2394.23         1.15E-19        1.15E-19
2394.73         1.14E-19        1.14E-19
2395.22         1.13E-19        1.13E-19
2395.72         1.12E-19        1.12E-19
2396.22         1.11E-19        1.11E-19
2396.71         1.10E-19        1.10E-19
2397.21         1.10E-19        1.10E-19
2397.70         1.09E-19        1.09E-19
2398.20         1.07E-19        1.07E-19
2398.69         1.07E-19        1.07E-19
2399.19         1.06E-19        1.06E-19
2399.68         1.05E-19        1.05E-19
2400.18         1.04E-19        1.04E-19
2400.68         1.03E-19        1.03E-19
2401.17         1.02E-19        1.02E-19
2401.67         1.02E-19        1.02E-19
2402.16         1.01E-19        1.01E-19
2402.66         1.00E-19        1.00E-19
2403.15         9.93E-20        9.93E-20
2403.65         9.87E-20        9.87E-20
2404.15         9.81E-20        9.81E-20
2404.64         9.68E-20        9.68E-20
2405.14         9.66E-20        9.66E-20
2405.63         9.58E-20        9.58E-20
2406.13         9.48E-20        9.48E-20
2406.62         9.39E-20        9.39E-20
2407.12         9.32E-20        9.32E-20
2407.61         9.25E-20        9.25E-20
2408.11         9.16E-20        9.16E-20
2408.61         9.11E-20        9.11E-20
2409.10         9.03E-20        9.03E-20
2409.60         8.98E-20        8.98E-20
2410.09         8.90E-20        8.90E-20
2410.59         8.84E-20        8.84E-20
2411.08         8.77E-20        8.77E-20
2411.58         8.70E-20        8.70E-20
2412.07         8.63E-20        8.63E-20
2412.57         8.55E-20        8.55E-20
2413.07         8.48E-20        8.48E-20
2413.56         8.41E-20        8.41E-20
2414.06         8.35E-20        8.35E-20
2414.55         8.28E-20        8.28E-20
2415.05         8.21E-20        8.21E-20
2415.54         8.14E-20        8.14E-20
2416.04         8.08E-20        8.08E-20
2416.54         8.01E-20        8.01E-20
2417.03         7.94E-20        7.94E-20
2417.53         7.87E-20        7.87E-20
2418.02         7.81E-20        7.81E-20
2418.52         7.75E-20        7.75E-20
2419.01         7.68E-20        7.68E-20
2419.51         7.62E-20        7.62E-20
2420.00         7.55E-20        7.55E-20
2420.50         7.49E-20        7.49E-20
2421.00         7.43E-20        7.43E-20
2421.49         7.36E-20        7.36E-20
2421.99         7.31E-20        7.31E-20
2422.48         7.23E-20        7.23E-20
2422.98         7.18E-20        7.18E-20
2423.47         7.13E-20        7.13E-20
2423.97         7.07E-20        7.07E-20
2424.46         7.01E-20        7.01E-20
2424.96         6.96E-20        6.96E-20
2425.46         6.89E-20        6.89E-20
2425.95         6.83E-20        6.83E-20
2426.45         6.78E-20        6.78E-20
2426.94         6.72E-20        6.72E-20
2427.44         6.67E-20        6.67E-20
2427.93         6.60E-20        6.60E-20
2428.43         6.55E-20        6.55E-20
2428.93         6.50E-20        6.50E-20
2429.42         6.44E-20        6.44E-20
2429.92         6.39E-20        6.39E-20
2430.41         6.33E-20        6.33E-20
2430.91         6.28E-20        6.28E-20
2431.40         6.23E-20        6.23E-20
2431.90         6.17E-20        6.17E-20
2432.39         6.13E-20        6.13E-20
2432.89         6.07E-20        6.07E-20
2433.39         6.02E-20        6.02E-20
2433.88         5.97E-20        5.97E-20
2434.38         5.92E-20        5.92E-20
2434.87         5.87E-20        5.87E-20
2435.37         5.82E-20        5.82E-20
2435.86         5.77E-20        5.77E-20
2436.36         5.73E-20        5.73E-20
2436.86         5.67E-20        5.67E-20
2437.35         5.63E-20        5.63E-20
2437.85         5.58E-20        5.58E-20
2438.34         5.54E-20        5.54E-20
2438.84         5.49E-20        5.49E-20
2439.33         5.45E-20        5.45E-20
2439.83         5.40E-20        5.40E-20
2440.32         5.35E-20        5.35E-20
2440.82         5.31E-20        5.31E-20
2441.32         5.26E-20        5.26E-20
2441.81         5.22E-20        5.22E-20
2442.31         5.18E-20        5.18E-20
2442.80         5.14E-20        5.14E-20
2443.30         5.10E-20        5.10E-20
2443.79         5.04E-20        5.04E-20
2444.29         4.99E-20        4.99E-20
2444.78         4.95E-20        4.95E-20
2445.28         4.91E-20        4.91E-20
2445.78         4.86E-20        4.86E-20
2446.27         4.82E-20        4.82E-20
2446.77         4.78E-20        4.78E-20
2447.26         4.75E-20        4.75E-20
2447.76         4.69E-20        4.69E-20
2448.25         4.66E-20        4.66E-20
2448.75         4.61E-20        4.61E-20
2449.25         4.57E-20        4.57E-20
2449.74         4.52E-20        4.52E-20
2450.24         4.48E-20        4.48E-20
2450.73         4.44E-20        4.44E-20
2451.23         4.41E-20        4.41E-20
2451.72         4.36E-20        4.36E-20
2452.22         4.33E-20        4.33E-20
2452.71         4.29E-20        4.29E-20
2453.21         4.25E-20        4.25E-20
2453.71         4.21E-20        4.21E-20
2454.20         4.18E-20        4.18E-20
2454.70         4.14E-20        4.14E-20
2455.19         4.10E-20        4.10E-20
2455.69         4.06E-20        4.06E-20
2456.18         4.02E-20        4.02E-20
2456.68         3.98E-20        3.98E-20
2457.18         3.95E-20        3.95E-20
2457.67         3.92E-20        3.92E-20
2458.17         3.86E-20        3.86E-20
2458.66         3.84E-20        3.84E-20
2459.16         3.81E-20        3.81E-20
2459.65         3.78E-20        3.78E-20
2460.15         3.75E-20        3.75E-20
2460.64         3.71E-20        3.71E-20
2461.14         3.68E-20        3.68E-20
2461.64         3.64E-20        3.64E-20
2462.13         3.60E-20        3.60E-20
2462.63         3.57E-20        3.57E-20
2463.12         3.54E-20        3.54E-20
2463.62         3.51E-20        3.51E-20
2464.11         3.48E-20        3.48E-20
2464.61         3.45E-20        3.45E-20
2465.10         3.41E-20        3.41E-20
2465.60         3.39E-20        3.39E-20
2466.10         3.35E-20        3.35E-20
2466.59         3.31E-20        3.31E-20
2467.09         3.29E-20        3.29E-20
2467.58         3.26E-20        3.26E-20
2468.08         3.23E-20        3.23E-20
2468.57         3.21E-20        3.21E-20
2469.07         3.17E-20        3.17E-20
2469.57         3.15E-20        3.15E-20
2470.06         3.11E-20        3.11E-20
2470.56         3.08E-20        3.08E-20
2471.05         3.05E-20        3.05E-20
2471.55         3.02E-20        3.02E-20
2472.04         2.98E-20        2.98E-20
2472.54         2.96E-20        2.96E-20
2473.03         2.94E-20        2.94E-20
2473.53         2.91E-20        2.91E-20
2474.03         2.89E-20        2.89E-20
2474.52         2.85E-20        2.85E-20
2475.02         2.81E-20        2.81E-20
2475.51         2.79E-20        2.79E-20
2476.01         2.76E-20        2.76E-20
2476.50         2.73E-20        2.73E-20
2477.00         2.71E-20        2.71E-20
2477.49         2.68E-20        2.68E-20
2477.99         2.66E-20        2.66E-20
2478.49         2.63E-20        2.63E-20
2478.98         2.60E-20        2.60E-20
2479.48         2.58E-20        2.58E-20
2479.97         2.56E-20        2.56E-20
2480.47         2.52E-20        2.52E-20
2480.96         2.50E-20        2.50E-20
2481.46         2.48E-20        2.48E-20
2481.96         2.45E-20        2.45E-20
2482.45         2.43E-20        2.43E-20
2482.95         2.40E-20        2.40E-20
2483.44         2.38E-20        2.38E-20
2483.94         2.36E-20        2.36E-20
2484.43         2.33E-20        2.33E-20
2484.93         2.31E-20        2.31E-20
2485.42         2.29E-20        2.29E-20
2485.92         2.25E-20        2.25E-20
2486.42         2.23E-20        2.23E-20
2486.91         2.22E-20        2.22E-20
2487.41         2.20E-20        2.20E-20
2487.90         2.17E-20        2.17E-20
2488.40         2.16E-20        2.16E-20
2488.89         2.13E-20        2.13E-20
2489.39         2.11E-20        2.11E-20
2489.89         2.09E-20        2.09E-20
2490.38         2.07E-20        2.07E-20
2490.88         2.04E-20        2.04E-20
2491.37         2.03E-20        2.03E-20
2491.87         2.00E-20        2.00E-20
2492.36         1.98E-20        1.98E-20
2492.86         1.96E-20        1.96E-20
2493.35         1.95E-20        1.95E-20
2493.85         1.93E-20        1.93E-20
2494.35         1.91E-20        1.91E-20
2494.84         1.89E-20        1.89E-20
2495.34         1.87E-20        1.87E-20
2495.83         1.84E-20        1.84E-20
2496.33         1.83E-20        1.83E-20
2496.82         1.80E-20        1.80E-20
2497.32         1.79E-20        1.79E-20
2497.81         1.77E-20        1.77E-20
2498.31         1.76E-20        1.76E-20
2498.81         1.73E-20        1.73E-20
2499.30         1.71E-20        1.71E-20
2499.80         1.70E-20        1.70E-20
2500.29         1.67E-20        1.67E-20
2500.79         1.66E-20        1.66E-20
2501.28         1.65E-20        1.65E-20
2501.78         1.63E-20        1.63E-20
2502.28         1.61E-20        1.61E-20
2502.77         1.60E-20        1.60E-20
2503.27         1.58E-20        1.58E-20
2503.76         1.56E-20        1.56E-20
2504.26         1.55E-20        1.55E-20
2504.75         1.54E-20        1.54E-20
2505.25         1.52E-20        1.52E-20
2505.74         1.51E-20        1.51E-20
2506.24         1.49E-20        1.49E-20
2506.74         1.48E-20        1.48E-20
2507.23         1.46E-20        1.46E-20
2507.73         1.45E-20        1.45E-20
2508.22         1.43E-20        1.43E-20
2508.72         1.42E-20        1.42E-20
2509.21         1.41E-20        1.41E-20
2509.71         1.39E-20        1.39E-20
2510.21         1.38E-20        1.38E-20
2510.70         1.36E-20        1.36E-20
2511.20         1.35E-20        1.35E-20
2511.69         1.33E-20        1.33E-20
2512.19         1.32E-20        1.32E-20
2512.68         1.31E-20        1.31E-20
2513.18         1.30E-20        1.30E-20
2513.67         1.29E-20        1.29E-20
2514.17         1.27E-20        1.27E-20
2514.67         1.26E-20        1.26E-20
2515.16         1.25E-20        1.25E-20
2515.66         1.23E-20        1.23E-20
2516.15         1.22E-20        1.22E-20
2516.65         1.21E-20        1.21E-20
2517.14         1.20E-20        1.20E-20
2517.64         1.18E-20        1.18E-20
2518.13         1.17E-20        1.17E-20
2518.63         1.16E-20        1.16E-20
2519.13         1.15E-20        1.15E-20
2519.62         1.14E-20        1.14E-20
2520.12         1.13E-20        1.13E-20
2520.61         1.12E-20        1.12E-20
2521.11         1.10E-20        1.10E-20
2521.60         1.09E-20        1.09E-20
2522.10         1.09E-20        1.09E-20
2522.60         1.07E-20        1.07E-20
2523.09         1.06E-20        1.06E-20
2523.59         1.05E-20        1.05E-20
2524.08         1.04E-20        1.04E-20
2524.58         1.02E-20        1.02E-20
2525.07         1.02E-20        1.02E-20
2525.57         1.00E-20        1.00E-20
2526.06         9.94E-21        9.94E-21
2526.56         9.82E-21        9.82E-21
2527.06         9.74E-21        9.74E-21
2527.55         9.62E-21        9.62E-21
2528.05         9.55E-21        9.55E-21
2528.54         9.48E-21        9.48E-21
2529.04         9.31E-21        9.31E-21
2529.53         9.27E-21        9.27E-21
2530.03         9.19E-21        9.19E-21
2530.52         9.07E-21        9.07E-21
2531.02         9.03E-21        9.03E-21
2531.52         8.91E-21        8.91E-21
2532.01         8.80E-21        8.80E-21
2532.51         8.69E-21        8.69E-21
2533.00         8.63E-21        8.63E-21
2533.50         8.52E-21        8.52E-21
2533.99         8.43E-21        8.43E-21
2534.49         8.37E-21        8.37E-21
2534.99         8.25E-21        8.25E-21
2535.48         8.17E-21        8.17E-21
2535.98         8.12E-21        8.12E-21
2536.47         8.02E-21        8.02E-21
2536.97         7.95E-21        7.95E-21
2537.46         7.88E-21        7.88E-21
2537.96         7.81E-21        7.81E-21
2538.45         7.72E-21        7.72E-21
2538.95         7.65E-21        7.65E-21
2539.45         7.54E-21        7.54E-21
2539.94         7.48E-21        7.48E-21
2540.44         7.42E-21        7.42E-21
2540.93         7.33E-21        7.33E-21
2541.43         7.26E-21        7.26E-21
2541.92         7.21E-21        7.21E-21
2542.42         7.11E-21        7.11E-21
2542.92         7.05E-21        7.05E-21
2543.41         6.95E-21        6.95E-21
2543.91         6.87E-21        6.87E-21
2544.40         6.81E-21        6.81E-21
2544.90         6.68E-21        6.68E-21
2545.39         6.62E-21        6.62E-21
2545.89         6.53E-21        6.53E-21
2546.38         6.49E-21        6.49E-21
2546.88         6.44E-21        6.44E-21
2547.38         6.37E-21        6.37E-21
2547.87         6.26E-21        6.26E-21
2548.37         6.22E-21        6.22E-21
2548.86         6.18E-21        6.18E-21
2549.36         6.09E-21        6.09E-21
2549.85         6.05E-21        6.05E-21
2550.35         5.97E-21        5.97E-21
2550.84         5.95E-21        5.95E-21
2551.34         5.88E-21        5.88E-21
2551.84         5.79E-21        5.79E-21
2552.33         5.74E-21        5.74E-21
2552.83         5.68E-21        5.68E-21
2553.32         5.65E-21        5.65E-21
2553.82         5.54E-21        5.54E-21
2554.31         5.49E-21        5.49E-21
2554.81         5.43E-21        5.43E-21
2555.31         5.39E-21        5.39E-21
2555.80         5.30E-21        5.30E-21
2556.30         5.26E-21        5.26E-21
2556.79         5.20E-21        5.20E-21
2557.29         5.15E-21        5.15E-21
2557.78         5.13E-21        5.13E-21
2558.28         5.07E-21        5.07E-21
2558.77         4.97E-21        4.97E-21
2559.27         4.98E-21        4.98E-21
2559.77         4.92E-21        4.92E-21
2560.26         4.81E-21        4.81E-21
2560.76         4.78E-21        4.78E-21
2561.25         4.74E-21        4.74E-21
2561.75         4.65E-21        4.65E-21
2562.24         4.60E-21        4.60E-21
2562.74         4.55E-21        4.55E-21
2563.23         4.50E-21        4.50E-21
2563.73         4.43E-21        4.43E-21
2564.23         4.39E-21        4.39E-21
2564.72         4.34E-21        4.34E-21
2565.22         4.34E-21        4.34E-21
2565.71         4.27E-21        4.27E-21
2566.21         4.24E-21        4.24E-21
2566.70         4.15E-21        4.15E-21
2567.20         4.14E-21        4.14E-21
2567.70         4.07E-21        4.07E-21
2568.19         4.08E-21        4.08E-21
2568.69         3.97E-21        3.97E-21
2569.18         3.94E-21        3.94E-21
2569.68         3.90E-21        3.90E-21
2570.17         3.87E-21        3.87E-21
2570.67         3.85E-21        3.85E-21
2571.16         3.79E-21        3.79E-21
2571.66         3.72E-21        3.72E-21
2572.16         3.69E-21        3.69E-21
2572.65         3.65E-21        3.65E-21
2573.15         3.62E-21        3.62E-21
2573.64         3.57E-21        3.57E-21
2574.14         3.55E-21        3.55E-21
2574.63         3.49E-21        3.49E-21
2575.13         3.44E-21        3.44E-21
2575.63         3.41E-21        3.41E-21
2576.12         3.33E-21        3.33E-21
2576.62         3.36E-21        3.36E-21
2577.11         3.27E-21        3.27E-21
2577.61         3.26E-21        3.26E-21
2578.10         3.23E-21        3.23E-21
2578.60         3.18E-21        3.18E-21
2579.09         3.11E-21        3.11E-21
2579.59         3.10E-21        3.10E-21
2580.09         3.01E-21        3.01E-21
2580.58         3.01E-21        3.01E-21
2581.08         3.02E-21        3.02E-21
2581.57         2.96E-21        2.96E-21
2582.07         2.94E-21        2.94E-21
2582.56         2.89E-21        2.89E-21
2583.06         2.85E-21        2.85E-21
2583.55         2.85E-21        2.85E-21
2584.05         2.77E-21        2.77E-21
2584.55         2.76E-21        2.76E-21
2585.04         2.74E-21        2.74E-21
2585.54         2.67E-21        2.67E-21
2586.03         2.61E-21        2.61E-21
2586.53         2.62E-21        2.62E-21
2587.02         2.59E-21        2.59E-21
2587.52         2.53E-21        2.53E-21
2588.02         2.49E-21        2.49E-21
2588.51         2.51E-21        2.51E-21
2589.01         2.46E-21        2.46E-21
2589.50         2.38E-21        2.38E-21
2590.00         2.38E-21        2.38E-21
2590.49         2.39E-21        2.39E-21
2590.99         2.38E-21        2.38E-21
2591.48         2.34E-21        2.34E-21
2591.98         2.32E-21        2.32E-21
2592.48         2.26E-21        2.26E-21
2592.97         2.23E-21        2.23E-21
2593.47         2.22E-21        2.22E-21
2593.96         2.21E-21        2.21E-21
2594.46         2.18E-21        2.18E-21
2594.95         0.00E+00        0.00E+00
2595.45         0.00E+00        0.00E+00
2595.95         0.00E+00        0.00E+00
2596.44         0.00E+00        0.00E+00
2596.94         0.00E+00        0.00E+00
2597.43         0.00E+00        0.00E+00
2597.93         0.00E+00        0.00E+00
2598.42         0.00E+00        0.00E+00
2598.92         0.00E+00        0.00E+00
2599.41         0.00E+00        0.00E+00
2599.91         0.00E+00        0.00E+00
2600.41         9.11E-21        0.00E+00
2600.90         7.27E-21        0.00E+00
2601.40         5.20E-21        0.00E+00
2601.89         4.80E-21        0.00E+00
2602.39         6.49E-21        0.00E+00
2602.88         6.82E-21        0.00E+00
2603.38         5.28E-21        0.00E+00
2603.87         5.49E-21        0.00E+00
2604.37         5.70E-21        0.00E+00
2604.87         6.72E-21        0.00E+00
2605.36         4.94E-21        0.00E+00
2605.86         7.23E-21        0.00E+00
2606.35         3.18E-21        0.00E+00
2606.85         3.73E-21        0.00E+00
2607.34         8.68E-21        0.00E+00
2607.84         6.61E-21        0.00E+00
2608.34         6.53E-21        0.00E+00
2608.83         6.26E-21        0.00E+00
2609.33         8.98E-21        0.00E+00
2609.82         4.20E-21        0.00E+00
2610.32         5.71E-21        0.00E+00
2610.81         2.55E-21        0.00E+00
2611.31         6.81E-21        0.00E+00
2611.80         4.02E-21        0.00E+00
2612.30         5.87E-21        0.00E+00
2612.80         8.44E-21        0.00E+00
2613.29         4.65E-21        0.00E+00
2613.79         4.94E-21        0.00E+00
2614.28         7.43E-21        0.00E+00
2614.78         7.13E-21        0.00E+00
2615.27         5.63E-21        0.00E+00
2615.77         8.10E-21        0.00E+00
2616.26         3.76E-21        0.00E+00
2616.76         7.43E-21        0.00E+00
2617.26         2.90E-21        0.00E+00
2617.75         5.03E-21        0.00E+00
2618.25         6.75E-21        0.00E+00
2618.74         5.60E-21        0.00E+00
2619.24         5.72E-21        0.00E+00
2619.73         2.37E-21        0.00E+00
2620.23         5.94E-21        0.00E+00
2620.73         4.06E-21        0.00E+00
2621.22         6.67E-21        0.00E+00
2621.72         7.14E-21        0.00E+00
2622.21         6.47E-21        0.00E+00
2622.71         4.72E-21        0.00E+00
2623.20         4.07E-21        0.00E+00
2623.70         6.33E-21        0.00E+00
2624.19         4.18E-21        0.00E+00
2624.69         9.82E-21        0.00E+00
2625.19         4.08E-21        0.00E+00
2625.68         7.93E-21        0.00E+00
2626.18         2.39E-21        0.00E+00
2626.67         7.66E-21        0.00E+00
2627.17         5.94E-21        0.00E+00
2627.66         5.37E-21        0.00E+00
2628.16         6.57E-21        0.00E+00
2628.66         7.56E-21        0.00E+00
2629.15         6.57E-21        0.00E+00
2629.65         6.90E-21        0.00E+00
2630.14         8.25E-21        0.00E+00
2630.64         5.52E-21        0.00E+00
2631.13         4.59E-21        0.00E+00
2631.63         4.22E-21        0.00E+00
2632.12         7.10E-21        0.00E+00
2632.62         6.07E-21        0.00E+00
2633.12         7.68E-21        0.00E+00
2633.61         6.40E-21        0.00E+00
2634.11         4.65E-21        0.00E+00
2634.60         6.45E-21        0.00E+00
2635.10         4.56E-21        0.00E+00
2635.59         7.07E-21        0.00E+00
2636.09         5.65E-21        0.00E+00
2636.58         4.75E-21        0.00E+00
2637.08         6.47E-21        0.00E+00
2637.58         3.61E-21        0.00E+00
2638.07         8.76E-21        0.00E+00
2638.57         5.54E-21        0.00E+00
2639.06         5.60E-21        0.00E+00
2639.56         4.10E-21        0.00E+00
2640.05         9.27E-21        0.00E+00
2640.55         2.76E-21        0.00E+00
2641.05         4.90E-21        0.00E+00
2641.54         3.70E-21        0.00E+00
2642.04         1.36E-21        0.00E+00
2642.53         6.71E-21        0.00E+00
2643.03         2.02E-21        0.00E+00
2643.52         3.67E-21        0.00E+00
2644.02         4.47E-21        0.00E+00
2644.51         5.19E-21        0.00E+00
2645.01         2.91E-21        0.00E+00
2645.51         5.48E-21        0.00E+00
2646.00         3.77E-21        0.00E+00
2646.50         4.90E-21        0.00E+00
2646.99         5.34E-21        0.00E+00
2647.49         3.80E-21        0.00E+00
2647.98         5.27E-21        0.00E+00
2648.48         2.05E-21        0.00E+00
2648.97         3.29E-21        0.00E+00
2649.47         2.72E-21        0.00E+00
2649.97         6.18E-21        0.00E+00
2650.46         4.38E-21        0.00E+00
2650.96         9.00E-22        0.00E+00
2651.45         5.17E-21        0.00E+00
2651.95         4.57E-21        0.00E+00
2652.44         9.46E-21        0.00E+00
2652.94         1.93E-21        0.00E+00
2653.44         7.98E-21        0.00E+00
2653.93         2.94E-21        0.00E+00
2654.43         5.10E-21        0.00E+00
2654.92         6.89E-21        0.00E+00
2655.42         3.20E-21        0.00E+00
2655.91         7.70E-21        0.00E+00
2656.41         4.59E-21        0.00E+00
2656.90         3.62E-21        0.00E+00
2657.40         2.89E-21        0.00E+00
2657.90         3.30E-21        0.00E+00
2658.39         3.78E-21        0.00E+00
2658.89         1.26E-21        0.00E+00
2659.38         7.32E-21        0.00E+00
2659.88         2.91E-21        0.00E+00
2660.37         5.60E-21        0.00E+00
2660.87         3.58E-21        0.00E+00
2661.37         5.75E-21        0.00E+00
2661.86         2.58E-21        0.00E+00
2662.36         6.04E-21        0.00E+00
2662.85         4.70E-21        0.00E+00
2663.35         5.20E-21        0.00E+00
2663.84         6.59E-21        0.00E+00
2664.34         2.59E-21        0.00E+00
2664.83         4.68E-21        0.00E+00
2665.33         4.31E-21        0.00E+00
2665.83         2.83E-21        0.00E+00
2666.32         3.64E-21        0.00E+00
2666.82         2.26E-21        0.00E+00
2667.31         4.56E-21        0.00E+00
2667.81         3.49E-21        0.00E+00
2668.30         6.11E-21        0.00E+00
2668.80         4.41E-21        0.00E+00
2669.29         6.85E-21        0.00E+00
2669.79         2.09E-21        0.00E+00
2670.29         1.78E-21        0.00E+00
2670.78         2.66E-21        0.00E+00
2671.28         2.91E-21        0.00E+00
2671.77         4.07E-21        0.00E+00
2672.27         6.82E-22        0.00E+00
2672.76         4.30E-21        0.00E+00
2673.26         4.13E-21        0.00E+00
2673.76         3.97E-21        0.00E+00
2674.25         3.98E-21        0.00E+00
2674.75         3.71E-21        0.00E+00
2675.24         5.76E-21        0.00E+00
2675.74         3.10E-21        0.00E+00
2676.23         3.81E-21        0.00E+00
2676.73         2.14E-21        0.00E+00
2677.22         4.11E-21        0.00E+00
2677.72         4.31E-21        0.00E+00
2678.22         1.87E-21        0.00E+00
2678.71         5.79E-21        0.00E+00
2679.21         3.63E-21        0.00E+00
2679.70         3.67E-21        0.00E+00
2680.20         1.93E-21        0.00E+00
2680.69         6.06E-21        0.00E+00
2681.19         5.27E-21        0.00E+00
2681.69         7.84E-22        0.00E+00
2682.18         8.13E-21        0.00E+00
2682.68         1.48E-21        0.00E+00
2683.17         2.77E-21        0.00E+00
2683.67         2.54E-21        0.00E+00
2684.16         1.48E-21        0.00E+00
2684.66         5.04E-21        0.00E+00
2685.15         3.64E-21        0.00E+00
2685.65         6.02E-21        0.00E+00
2686.15         1.04E-21        0.00E+00
2686.64         5.59E-21        0.00E+00
2687.14         4.95E-21        0.00E+00
2687.63         3.30E-21        0.00E+00
2688.13         3.55E-21        0.00E+00
2688.62         1.45E-21        0.00E+00
2689.12         3.75E-21        0.00E+00
2689.61         1.77E-21        0.00E+00
2690.11         3.70E-21        0.00E+00
2690.61         1.37E-21        0.00E+00
2691.10         2.86E-21        0.00E+00
2691.60         3.27E-21        0.00E+00
2692.09         2.00E-21        0.00E+00
2692.59         6.76E-21        0.00E+00
2693.08         6.56E-22        0.00E+00
2693.58         1.27E-22        0.00E+00
2694.08         3.77E-21        0.00E+00
2694.57         1.87E-21        0.00E+00
2695.07         5.90E-21        0.00E+00
2695.56         9.53E-22        0.00E+00
2696.06         1.57E-21        0.00E+00
2696.55         2.53E-21        0.00E+00
2697.05         1.62E-21        0.00E+00
2697.54         4.04E-21        0.00E+00
2698.04         4.12E-22        0.00E+00
2698.54         5.82E-21        0.00E+00
2699.03         2.45E-21        0.00E+00
2699.53         2.67E-21        0.00E+00
2700.02         4.90E-21        0.00E+00
2700.52         2.15E-21        0.00E+00
2701.01         4.58E-21        0.00E+00
2701.51         1.81E-21        0.00E+00
2702.00         2.94E-21        0.00E+00
2702.50         8.23E-22        0.00E+00
2703.00         3.12E-21        0.00E+00
2703.49         5.77E-21        0.00E+00
2703.99         4.08E-21        0.00E+00
2704.48         4.66E-21        0.00E+00
2704.98         1.69E-21        0.00E+00
2705.47         2.14E-21        0.00E+00
2705.97         3.31E-21        0.00E+00
2706.47         9.14E-22        0.00E+00
2706.96         3.42E-21        0.00E+00
2707.46         1.49E-21        0.00E+00
2707.95         5.35E-21        0.00E+00
2708.45         3.74E-21        0.00E+00
2708.94         1.68E-21        0.00E+00
