0 Branching ratio for SO2       Total        1 branches    
Lambda          Total           SO/O
2345.66         3.51E-20        0.00E+00
2346.16         3.67E-20        0.00E+00
2346.65         3.88E-20        0.00E+00
2347.15         4.00E-20        0.00E+00
2347.65         4.16E-20        0.00E+00
2348.14         4.19E-20        0.00E+00
2348.64         4.87E-20        0.00E+00
2349.13         5.10E-20        0.00E+00
2349.63         5.11E-20        0.00E+00
2350.12         4.99E-20        0.00E+00
2350.62         4.76E-20        0.00E+00
2351.12         4.46E-20        0.00E+00
2351.61         4.09E-20        0.00E+00
2352.11         4.03E-20        0.00E+00
2352.60         3.95E-20        0.00E+00
2353.10         4.01E-20        0.00E+00
2353.59         3.93E-20        0.00E+00
2354.09         3.97E-20        0.00E+00
2354.58         3.97E-20        0.00E+00
2355.08         3.87E-20        0.00E+00
2355.58         3.95E-20        0.00E+00
2356.07         3.85E-20        0.00E+00
2356.57         3.98E-20        0.00E+00
2357.06         3.92E-20        0.00E+00
2357.56         3.79E-20        0.00E+00
2358.05         3.62E-20        0.00E+00
2358.55         3.53E-20        0.00E+00
2359.04         3.47E-20        0.00E+00
2359.54         3.36E-20        0.00E+00
2360.04         3.27E-20        0.00E+00
2360.53         3.20E-20        0.00E+00
2361.03         3.14E-20        0.00E+00
2361.52         3.10E-20        0.00E+00
2362.02         3.02E-20        0.00E+00
2362.51         2.94E-20        0.00E+00
2363.01         2.81E-20        0.00E+00
2363.51         2.75E-20        0.00E+00
2364.00         2.76E-20        0.00E+00
2364.50         2.80E-20        0.00E+00
2364.99         2.86E-20        0.00E+00
2365.49         2.92E-20        0.00E+00
2365.98         3.04E-20        0.00E+00
2366.48         3.11E-20        0.00E+00
2366.97         3.11E-20        0.00E+00
2367.47         3.07E-20        0.00E+00
2367.97         3.00E-20        0.00E+00
2368.46         2.89E-20        0.00E+00
2368.96         2.76E-20        0.00E+00
2369.45         2.69E-20        0.00E+00
2369.95         2.65E-20        0.00E+00
2370.44         2.73E-20        0.00E+00
2370.94         2.87E-20        0.00E+00
2371.44         3.00E-20        0.00E+00
2371.93         3.09E-20        0.00E+00
2372.43         3.12E-20        0.00E+00
2372.92         3.06E-20        0.00E+00
2373.42         2.99E-20        0.00E+00
2373.91         2.87E-20        0.00E+00
2374.41         2.78E-20        0.00E+00
2374.90         2.78E-20        0.00E+00
2375.40         2.76E-20        0.00E+00
2375.90         2.72E-20        0.00E+00
2376.39         2.70E-20        0.00E+00
2376.89         2.68E-20        0.00E+00
2377.38         2.90E-20        0.00E+00
2377.88         3.03E-20        0.00E+00
2378.37         3.23E-20        0.00E+00
2378.87         3.46E-20        0.00E+00
2379.36         3.59E-20        0.00E+00
2379.86         3.54E-20        0.00E+00
2380.36         3.48E-20        0.00E+00
2380.85         3.36E-20        0.00E+00
2381.35         3.28E-20        0.00E+00
2381.84         3.24E-20        0.00E+00
2382.34         3.19E-20        0.00E+00
2382.83         3.16E-20        0.00E+00
2383.33         3.15E-20        0.00E+00
2383.83         3.17E-20        0.00E+00
2384.32         3.13E-20        0.00E+00
2384.82         3.08E-20        0.00E+00
2385.31         3.10E-20        0.00E+00
2385.81         3.09E-20        0.00E+00
2386.30         3.08E-20        0.00E+00
2386.80         3.07E-20        0.00E+00
2387.29         3.08E-20        0.00E+00
2387.79         3.13E-20        0.00E+00
2388.29         3.30E-20        0.00E+00
2388.78         3.36E-20        0.00E+00
2389.28         3.33E-20        0.00E+00
2389.77         3.28E-20        0.00E+00
2390.27         3.37E-20        0.00E+00
2390.76         3.66E-20        0.00E+00
2391.26         3.70E-20        0.00E+00
2391.75         3.67E-20        0.00E+00
2392.25         3.64E-20        0.00E+00
2392.75         3.66E-20        0.00E+00
2393.24         3.68E-20        0.00E+00
2393.74         3.73E-20        0.00E+00
2394.23         3.79E-20        0.00E+00
2394.73         3.86E-20        0.00E+00
2395.22         3.95E-20        0.00E+00
2395.72         4.05E-20        0.00E+00
2396.22         4.14E-20        0.00E+00
2396.71         4.20E-20        0.00E+00
2397.21         4.27E-20        0.00E+00
2397.70         4.30E-20        0.00E+00
2398.20         4.32E-20        0.00E+00
2398.69         4.34E-20        0.00E+00
2399.19         4.39E-20        0.00E+00
2399.68         4.44E-20        0.00E+00
2400.18         4.56E-20        0.00E+00
2400.68         4.70E-20        0.00E+00
2401.17         4.85E-20        0.00E+00
2401.67         4.94E-20        0.00E+00
2402.16         5.04E-20        0.00E+00
2402.66         5.06E-20        0.00E+00
2403.15         5.01E-20        0.00E+00
2403.65         4.97E-20        0.00E+00
2404.15         4.86E-20        0.00E+00
2404.64         4.74E-20        0.00E+00
2405.14         4.63E-20        0.00E+00
2405.63         4.55E-20        0.00E+00
2406.13         4.47E-20        0.00E+00
2406.62         4.41E-20        0.00E+00
2407.12         4.36E-20        0.00E+00
2407.61         4.32E-20        0.00E+00
2408.11         4.32E-20        0.00E+00
2408.61         4.32E-20        0.00E+00
2409.10         4.36E-20        0.00E+00
2409.60         4.42E-20        0.00E+00
2410.09         4.49E-20        0.00E+00
2410.59         4.55E-20        0.00E+00
2411.08         4.62E-20        0.00E+00
2411.58         4.65E-20        0.00E+00
2412.07         4.65E-20        0.00E+00
2412.57         4.65E-20        0.00E+00
2413.07         4.64E-20        0.00E+00
2413.56         4.62E-20        0.00E+00
2414.06         4.62E-20        0.00E+00
2414.55         4.66E-20        0.00E+00
2415.05         4.69E-20        0.00E+00
2415.54         4.73E-20        0.00E+00
2416.04         4.78E-20        0.00E+00
2416.54         4.82E-20        0.00E+00
2417.03         4.85E-20        0.00E+00
2417.53         4.88E-20        0.00E+00
2418.02         4.89E-20        0.00E+00
2418.52         4.89E-20        0.00E+00
2419.01         4.89E-20        0.00E+00
2419.51         4.86E-20        0.00E+00
2420.00         4.84E-20        0.00E+00
2420.50         4.82E-20        0.00E+00
2421.00         4.78E-20        0.00E+00
2421.49         4.75E-20        0.00E+00
2421.99         4.73E-20        0.00E+00
2422.48         4.72E-20        0.00E+00
2422.98         4.72E-20        0.00E+00
2423.47         4.78E-20        0.00E+00
2423.97         4.83E-20        0.00E+00
2424.46         4.91E-20        0.00E+00
2424.96         5.00E-20        0.00E+00
2425.46         5.08E-20        0.00E+00
2425.95         5.11E-20        0.00E+00
2426.45         5.13E-20        0.00E+00
2426.94         5.13E-20        0.00E+00
2427.44         5.11E-20        0.00E+00
2427.93         5.09E-20        0.00E+00
2428.43         5.06E-20        0.00E+00
2428.93         5.03E-20        0.00E+00
2429.42         4.97E-20        0.00E+00
2429.92         4.90E-20        0.00E+00
2430.41         4.82E-20        0.00E+00
2430.91         4.74E-20        0.00E+00
2431.40         4.65E-20        0.00E+00
2431.90         4.59E-20        0.00E+00
2432.39         4.57E-20        0.00E+00
2432.89         4.55E-20        0.00E+00
2433.39         4.63E-20        0.00E+00
2433.88         4.73E-20        0.00E+00
2434.38         4.85E-20        0.00E+00
2434.87         5.01E-20        0.00E+00
2435.37         5.18E-20        0.00E+00
2435.86         5.32E-20        0.00E+00
2436.36         5.44E-20        0.00E+00
2436.86         5.56E-20        0.00E+00
2437.35         5.64E-20        0.00E+00
2437.85         5.72E-20        0.00E+00
2438.34         5.77E-20        0.00E+00
2438.84         5.82E-20        0.00E+00
2439.33         5.86E-20        0.00E+00
2439.83         5.88E-20        0.00E+00
2440.32         5.90E-20        0.00E+00
2440.82         5.93E-20        0.00E+00
2441.32         5.96E-20        0.00E+00
2441.81         5.99E-20        0.00E+00
2442.31         5.99E-20        0.00E+00
2442.80         6.00E-20        0.00E+00
2443.30         6.00E-20        0.00E+00
2443.79         6.02E-20        0.00E+00
2444.29         6.04E-20        0.00E+00
2444.78         6.08E-20        0.00E+00
2445.28         6.12E-20        0.00E+00
2445.78         6.17E-20        0.00E+00
2446.27         6.22E-20        0.00E+00
2446.77         6.27E-20        0.00E+00
2447.26         6.36E-20        0.00E+00
2447.76         6.45E-20        0.00E+00
2448.25         6.55E-20        0.00E+00
2448.75         6.65E-20        0.00E+00
2449.25         6.76E-20        0.00E+00
2449.74         6.77E-20        0.00E+00
2450.24         6.76E-20        0.00E+00
2450.73         6.76E-20        0.00E+00
2451.23         6.76E-20        0.00E+00
2451.72         6.76E-20        0.00E+00
2452.22         6.95E-20        0.00E+00
2452.71         7.23E-20        0.00E+00
2453.21         7.51E-20        0.00E+00
2453.71         7.86E-20        0.00E+00
2454.20         8.20E-20        0.00E+00
2454.70         8.33E-20        0.00E+00
2455.19         8.35E-20        0.00E+00
2455.69         8.34E-20        0.00E+00
2456.18         8.08E-20        0.00E+00
2456.68         7.82E-20        0.00E+00
2457.18         7.50E-20        0.00E+00
2457.67         7.15E-20        0.00E+00
2458.17         6.80E-20        0.00E+00
2458.66         6.55E-20        0.00E+00
2459.16         6.29E-20        0.00E+00
2459.65         6.15E-20        0.00E+00
2460.15         6.09E-20        0.00E+00
2460.64         6.04E-20        0.00E+00
2461.14         6.16E-20        0.00E+00
2461.64         6.29E-20        0.00E+00
2462.13         6.49E-20        0.00E+00
2462.63         6.77E-20        0.00E+00
2463.12         7.05E-20        0.00E+00
2463.62         7.24E-20        0.00E+00
2464.11         7.43E-20        0.00E+00
2464.61         7.51E-20        0.00E+00
2465.10         7.46E-20        0.00E+00
2465.60         7.42E-20        0.00E+00
2466.10         7.34E-20        0.00E+00
2466.59         7.26E-20        0.00E+00
2467.09         7.22E-20        0.00E+00
2467.58         7.26E-20        0.00E+00
2468.08         7.29E-20        0.00E+00
2468.57         7.43E-20        0.00E+00
2469.07         7.58E-20        0.00E+00
2469.57         7.72E-20        0.00E+00
2470.06         7.85E-20        0.00E+00
2470.56         7.98E-20        0.00E+00
2471.05         7.97E-20        0.00E+00
2471.55         7.93E-20        0.00E+00
2472.04         7.86E-20        0.00E+00
2472.54         7.74E-20        0.00E+00
2473.03         7.61E-20        0.00E+00
2473.53         7.56E-20        0.00E+00
2474.03         7.53E-20        0.00E+00
2474.52         7.54E-20        0.00E+00
2475.02         7.61E-20        0.00E+00
2475.51         7.69E-20        0.00E+00
2476.01         7.86E-20        0.00E+00
2476.50         8.05E-20        0.00E+00
2477.00         8.25E-20        0.00E+00
2477.49         8.48E-20        0.00E+00
2477.99         8.71E-20        0.00E+00
2478.49         8.85E-20        0.00E+00
2478.98         8.97E-20        0.00E+00
2479.48         9.04E-20        0.00E+00
2479.97         9.00E-20        0.00E+00
2480.47         8.95E-20        0.00E+00
2480.96         8.84E-20        0.00E+00
2481.46         8.72E-20        0.00E+00
2481.96         8.62E-20        0.00E+00
2482.45         8.60E-20        0.00E+00
2482.95         8.59E-20        0.00E+00
2483.44         8.64E-20        0.00E+00
2483.94         8.72E-20        0.00E+00
2484.43         8.79E-20        0.00E+00
2484.93         8.82E-20        0.00E+00
2485.42         8.85E-20        0.00E+00
2485.92         8.79E-20        0.00E+00
2486.42         8.69E-20        0.00E+00
2486.91         8.59E-20        0.00E+00
2487.41         8.49E-20        0.00E+00
2487.90         8.39E-20        0.00E+00
2488.40         8.36E-20        0.00E+00
2488.89         8.34E-20        0.00E+00
2489.39         8.37E-20        0.00E+00
2489.89         8.50E-20        0.00E+00
2490.38         8.62E-20        0.00E+00
2490.88         8.82E-20        0.00E+00
2491.37         9.03E-20        0.00E+00
2491.87         9.18E-20        0.00E+00
2492.36         9.17E-20        0.00E+00
2492.86         9.15E-20        0.00E+00
2493.35         9.14E-20        0.00E+00
2493.85         9.11E-20        0.00E+00
2494.35         9.23E-20        0.00E+00
2494.84         9.67E-20        0.00E+00
2495.34         1.01E-19        0.00E+00
2495.83         1.07E-19        0.00E+00
2496.33         1.13E-19        0.00E+00
2496.82         1.17E-19        0.00E+00
2497.32         1.18E-19        0.00E+00
2497.81         1.20E-19        0.00E+00
2498.31         1.17E-19        0.00E+00
2498.81         1.14E-19        0.00E+00
2499.30         1.11E-19        0.00E+00
2499.80         1.08E-19        0.00E+00
2500.29         1.05E-19        0.00E+00
2500.79         1.05E-19        0.00E+00
2501.28         1.04E-19        0.00E+00
2501.78         1.05E-19        0.00E+00
2502.28         1.08E-19        0.00E+00
2502.77         1.11E-19        0.00E+00
2503.27         1.13E-19        0.00E+00
2503.76         1.16E-19        0.00E+00
2504.26         1.16E-19        0.00E+00
2504.75         1.15E-19        0.00E+00
2505.25         1.13E-19        0.00E+00
2505.74         1.11E-19        0.00E+00
2506.24         1.08E-19        0.00E+00
2506.74         1.06E-19        0.00E+00
2507.23         1.05E-19        0.00E+00
2507.73         1.04E-19        0.00E+00
2508.22         1.05E-19        0.00E+00
2508.72         1.05E-19        0.00E+00
2509.21         1.07E-19        0.00E+00
2509.71         1.10E-19        0.00E+00
2510.21         1.13E-19        0.00E+00
2510.70         1.19E-19        0.00E+00
2511.20         1.25E-19        0.00E+00
2511.69         1.31E-19        0.00E+00
2512.19         1.35E-19        0.00E+00
2512.68         1.40E-19        0.00E+00
2513.18         1.39E-19        0.00E+00
2513.67         1.38E-19        0.00E+00
2514.17         1.35E-19        0.00E+00
2514.67         1.32E-19        0.00E+00
2515.16         1.29E-19        0.00E+00
2515.66         1.27E-19        0.00E+00
2516.15         1.25E-19        0.00E+00
2516.65         1.23E-19        0.00E+00
2517.14         1.23E-19        0.00E+00
2517.64         1.22E-19        0.00E+00
2518.13         1.22E-19        0.00E+00
2518.63         1.21E-19        0.00E+00
2519.13         1.20E-19        0.00E+00
2519.62         1.19E-19        0.00E+00
2520.12         1.19E-19        0.00E+00
2520.61         1.19E-19        0.00E+00
2521.11         1.19E-19        0.00E+00
2521.60         1.20E-19        0.00E+00
2522.10         1.22E-19        0.00E+00
2522.60         1.24E-19        0.00E+00
2523.09         1.27E-19        0.00E+00
2523.59         1.29E-19        0.00E+00
2524.08         1.30E-19        0.00E+00
2524.58         1.31E-19        0.00E+00
2525.07         1.31E-19        0.00E+00
2525.57         1.30E-19        0.00E+00
2526.06         1.29E-19        0.00E+00
2526.56         1.27E-19        0.00E+00
2527.06         1.26E-19        0.00E+00
2527.55         1.24E-19        0.00E+00
2528.05         1.22E-19        0.00E+00
2528.54         1.21E-19        0.00E+00
2529.04         1.21E-19        0.00E+00
2529.53         1.22E-19        0.00E+00
2530.03         1.24E-19        0.00E+00
2530.52         1.27E-19        0.00E+00
2531.02         1.30E-19        0.00E+00
2531.52         1.32E-19        0.00E+00
2532.01         1.34E-19        0.00E+00
2532.51         1.36E-19        0.00E+00
2533.00         1.38E-19        0.00E+00
2533.50         1.39E-19        0.00E+00
2533.99         1.41E-19        0.00E+00
2534.49         1.43E-19        0.00E+00
2534.99         1.45E-19        0.00E+00
2535.48         1.47E-19        0.00E+00
2535.98         1.50E-19        0.00E+00
2536.47         1.53E-19        0.00E+00
2536.97         1.55E-19        0.00E+00
2537.46         1.57E-19        0.00E+00
2537.96         1.59E-19        0.00E+00
2538.45         1.60E-19        0.00E+00
2538.95         1.59E-19        0.00E+00
2539.45         1.58E-19        0.00E+00
2539.94         1.57E-19        0.00E+00
2540.44         1.56E-19        0.00E+00
2540.93         1.55E-19        0.00E+00
2541.43         1.54E-19        0.00E+00
2541.92         1.54E-19        0.00E+00
2542.42         1.54E-19        0.00E+00
2542.92         1.54E-19        0.00E+00
2543.41         1.54E-19        0.00E+00
2543.91         1.55E-19        0.00E+00
2544.40         1.56E-19        0.00E+00
2544.90         1.58E-19        0.00E+00
2545.39         1.60E-19        0.00E+00
2545.89         1.61E-19        0.00E+00
2546.38         1.62E-19        0.00E+00
2546.88         1.62E-19        0.00E+00
2547.38         1.61E-19        0.00E+00
2547.87         1.60E-19        0.00E+00
2548.37         1.60E-19        0.00E+00
2548.86         1.60E-19        0.00E+00
2549.36         1.61E-19        0.00E+00
2549.85         1.61E-19        0.00E+00
2550.35         1.62E-19        0.00E+00
2550.84         1.62E-19        0.00E+00
2551.34         1.63E-19        0.00E+00
2551.84         1.66E-19        0.00E+00
2552.33         1.71E-19        0.00E+00
2552.83         1.77E-19        0.00E+00
2553.32         1.86E-19        0.00E+00
2553.82         1.95E-19        0.00E+00
2554.31         2.01E-19        0.00E+00
2554.81         2.06E-19        0.00E+00
2555.31         2.10E-19        0.00E+00
2555.80         2.10E-19        0.00E+00
2556.30         2.09E-19        0.00E+00
2556.79         2.09E-19        0.00E+00
2557.29         2.09E-19        0.00E+00
2557.78         2.10E-19        0.00E+00
2558.28         2.10E-19        0.00E+00
2558.77         2.10E-19        0.00E+00
2559.27         2.07E-19        0.00E+00
2559.77         2.04E-19        0.00E+00
2560.26         1.99E-19        0.00E+00
2560.76         1.93E-19        0.00E+00
2561.25         1.87E-19        0.00E+00
2561.75         1.81E-19        0.00E+00
2562.24         1.76E-19        0.00E+00
2562.74         1.72E-19        0.00E+00
2563.23         1.68E-19        0.00E+00
2563.73         1.65E-19        0.00E+00
2564.23         1.63E-19        0.00E+00
2564.72         1.60E-19        0.00E+00
2565.22         1.59E-19        0.00E+00
2565.71         1.57E-19        0.00E+00
2566.21         1.57E-19        0.00E+00
2566.70         1.58E-19        0.00E+00
2567.20         1.60E-19        0.00E+00
2567.70         1.67E-19        0.00E+00
2568.19         1.75E-19        0.00E+00
2568.69         1.81E-19        0.00E+00
2569.18         1.87E-19        0.00E+00
2569.68         1.90E-19        0.00E+00
2570.17         1.88E-19        0.00E+00
2570.67         1.86E-19        0.00E+00
2571.16         1.85E-19        0.00E+00
2571.66         1.84E-19        0.00E+00
2572.16         1.89E-19        0.00E+00
2572.65         2.00E-19        0.00E+00
2573.15         2.11E-19        0.00E+00
2573.64         2.24E-19        0.00E+00
2574.14         2.37E-19        0.00E+00
2574.63         2.44E-19        0.00E+00
2575.13         2.47E-19        0.00E+00
2575.63         2.48E-19        0.00E+00
2576.12         2.43E-19        0.00E+00
2576.62         2.39E-19        0.00E+00
2577.11         2.31E-19        0.00E+00
2577.61         2.22E-19        0.00E+00
2578.10         2.14E-19        0.00E+00
2578.60         2.06E-19        0.00E+00
2579.09         1.98E-19        0.00E+00
2579.59         1.97E-19        0.00E+00
2580.09         1.96E-19        0.00E+00
2580.58         2.01E-19        0.00E+00
2581.08         2.10E-19        0.00E+00
2581.57         2.19E-19        0.00E+00
2582.07         2.29E-19        0.00E+00
2582.56         2.39E-19        0.00E+00
2583.06         2.44E-19        0.00E+00
2583.55         2.46E-19        0.00E+00
2584.05         2.48E-19        0.00E+00
2584.55         2.46E-19        0.00E+00
2585.04         2.44E-19        0.00E+00
2585.54         2.39E-19        0.00E+00
2586.03         2.35E-19        0.00E+00
2586.53         2.30E-19        0.00E+00
2587.02         2.24E-19        0.00E+00
2587.52         2.19E-19        0.00E+00
2588.02         2.14E-19        0.00E+00
2588.51         2.10E-19        0.00E+00
2589.01         2.11E-19        0.00E+00
2589.50         2.13E-19        0.00E+00
2590.00         2.17E-19        0.00E+00
2590.49         2.24E-19        0.00E+00
2590.99         2.31E-19        0.00E+00
2591.48         2.34E-19        0.00E+00
2591.98         2.38E-19        0.00E+00
2592.48         2.38E-19        0.00E+00
2592.97         2.37E-19        0.00E+00
2593.47         2.36E-19        0.00E+00
2593.96         2.36E-19        0.00E+00
2594.46         2.36E-19        0.00E+00
2594.95         2.39E-19        0.00E+00
2595.45         2.41E-19        0.00E+00
2595.95         2.44E-19        0.00E+00
2596.44         2.47E-19        0.00E+00
2596.94         2.49E-19        0.00E+00
2597.43         2.53E-19        0.00E+00
2597.93         2.56E-19        0.00E+00
2598.42         2.59E-19        0.00E+00
2598.92         2.62E-19        0.00E+00
2599.41         2.63E-19        0.00E+00
2599.91         2.61E-19        0.00E+00
2600.41         2.59E-19        0.00E+00
2600.90         2.57E-19        0.00E+00
2601.40         2.55E-19        0.00E+00
2601.89         2.54E-19        0.00E+00
2602.39         2.56E-19        0.00E+00
2602.88         2.58E-19        0.00E+00
2603.38         2.58E-19        0.00E+00
2603.87         2.59E-19        0.00E+00
2604.37         2.59E-19        0.00E+00
2604.87         2.59E-19        0.00E+00
2605.36         2.61E-19        0.00E+00
2605.86         2.66E-19        0.00E+00
2606.35         2.71E-19        0.00E+00
2606.85         2.77E-19        0.00E+00
2607.34         2.82E-19        0.00E+00
2607.84         2.84E-19        0.00E+00
2608.34         2.81E-19        0.00E+00
2608.83         2.79E-19        0.00E+00
2609.33         2.76E-19        0.00E+00
2609.82         2.72E-19        0.00E+00
2610.32         2.75E-19        0.00E+00
2610.81         2.79E-19        0.00E+00
2611.31         2.86E-19        0.00E+00
2611.80         2.97E-19        0.00E+00
2612.30         3.08E-19        0.00E+00
2612.80         3.19E-19        0.00E+00
2613.29         3.29E-19        0.00E+00
2613.79         3.34E-19        0.00E+00
2614.28         3.36E-19        0.00E+00
2614.78         3.36E-19        0.00E+00
2615.27         3.30E-19        0.00E+00
2615.77         3.24E-19        0.00E+00
2616.26         3.16E-19        0.00E+00
2616.76         3.08E-19        0.00E+00
2617.26         3.04E-19        0.00E+00
2617.75         3.02E-19        0.00E+00
2618.25         3.01E-19        0.00E+00
2618.74         3.07E-19        0.00E+00
2619.24         3.14E-19        0.00E+00
2619.73         3.21E-19        0.00E+00
2620.23         3.30E-19        0.00E+00
2620.73         3.35E-19        0.00E+00
2621.22         3.37E-19        0.00E+00
2621.72         3.39E-19        0.00E+00
2622.21         3.37E-19        0.00E+00
2622.71         3.34E-19        0.00E+00
2623.20         3.30E-19        0.00E+00
2623.70         3.25E-19        0.00E+00
2624.19         3.19E-19        0.00E+00
2624.69         3.13E-19        0.00E+00
2625.19         3.06E-19        0.00E+00
2625.68         3.04E-19        0.00E+00
2626.18         3.02E-19        0.00E+00
2626.67         3.03E-19        0.00E+00
2627.17         3.06E-19        0.00E+00
2627.66         3.09E-19        0.00E+00
2628.16         3.10E-19        0.00E+00
2628.66         3.11E-19        0.00E+00
2629.15         3.08E-19        0.00E+00
2629.65         3.05E-19        0.00E+00
2630.14         3.04E-19        0.00E+00
2630.64         3.04E-19        0.00E+00
2631.13         3.05E-19        0.00E+00
2631.63         3.06E-19        0.00E+00
2632.12         3.08E-19        0.00E+00
2632.62         3.05E-19        0.00E+00
2633.12         3.00E-19        0.00E+00
2633.61         2.94E-19        0.00E+00
2634.11         2.84E-19        0.00E+00
2634.60         2.76E-19        0.00E+00
2635.10         2.74E-19        0.00E+00
2635.59         2.72E-19        0.00E+00
2636.09         2.82E-19        0.00E+00
2636.58         2.97E-19        0.00E+00
2637.08         3.12E-19        0.00E+00
2637.58         3.28E-19        0.00E+00
2638.07         3.43E-19        0.00E+00
2638.57         3.41E-19        0.00E+00
2639.06         3.39E-19        0.00E+00
2639.56         3.34E-19        0.00E+00
2640.05         3.26E-19        0.00E+00
2640.55         3.21E-19        0.00E+00
2641.05         3.22E-19        0.00E+00
2641.54         3.23E-19        0.00E+00
2642.04         3.32E-19        0.00E+00
2642.53         3.41E-19        0.00E+00
2643.03         3.51E-19        0.00E+00
2643.52         3.60E-19        0.00E+00
2644.02         3.68E-19        0.00E+00
2644.51         3.73E-19        0.00E+00
2645.01         3.78E-19        0.00E+00
2645.51         3.88E-19        0.00E+00
2646.00         3.98E-19        0.00E+00
2646.50         4.08E-19        0.00E+00
2646.99         4.19E-19        0.00E+00
2647.49         4.26E-19        0.00E+00
2647.98         4.21E-19        0.00E+00
2648.48         4.17E-19        0.00E+00
2648.97         4.07E-19        0.00E+00
2649.47         3.96E-19        0.00E+00
2649.97         3.88E-19        0.00E+00
2650.46         3.81E-19        0.00E+00
2650.96         3.76E-19        0.00E+00
2651.45         3.78E-19        0.00E+00
2651.95         3.79E-19        0.00E+00
2652.44         3.90E-19        0.00E+00
2652.94         4.02E-19        0.00E+00
2653.44         4.10E-19        0.00E+00
2653.93         4.16E-19        0.00E+00
2654.43         4.19E-19        0.00E+00
2654.92         4.09E-19        0.00E+00
2655.42         4.00E-19        0.00E+00
2655.91         3.86E-19        0.00E+00
2656.41         3.71E-19        0.00E+00
2656.90         3.60E-19        0.00E+00
2657.40         3.52E-19        0.00E+00
2657.90         3.47E-19        0.00E+00
2658.39         3.55E-19        0.00E+00
2658.89         3.63E-19        0.00E+00
2659.38         3.80E-19        0.00E+00
2659.88         3.99E-19        0.00E+00
2660.37         4.15E-19        0.00E+00
2660.87         4.27E-19        0.00E+00
2661.37         4.37E-19        0.00E+00
2661.86         4.39E-19        0.00E+00
2662.36         4.40E-19        0.00E+00
2662.85         4.42E-19        0.00E+00
2663.35         4.43E-19        0.00E+00
2663.84         4.43E-19        0.00E+00
2664.34         4.42E-19        0.00E+00
2664.83         4.39E-19        0.00E+00
2665.33         4.31E-19        0.00E+00
2665.83         4.22E-19        0.00E+00
2666.32         4.15E-19        0.00E+00
2666.82         4.08E-19        0.00E+00
2667.31         4.08E-19        0.00E+00
2667.81         4.15E-19        0.00E+00
2668.30         4.24E-19        0.00E+00
2668.80         4.45E-19        0.00E+00
2669.29         4.66E-19        0.00E+00
2669.79         4.76E-19        0.00E+00
2670.29         4.83E-19        0.00E+00
2670.78         4.79E-19        0.00E+00
2671.28         4.65E-19        0.00E+00
2671.77         4.51E-19        0.00E+00
2672.27         4.38E-19        0.00E+00
2672.76         4.25E-19        0.00E+00
2673.26         4.17E-19        0.00E+00
2673.76         4.10E-19        0.00E+00
2674.25         4.05E-19        0.00E+00
2674.75         4.02E-19        0.00E+00
2675.24         4.03E-19        0.00E+00
2675.74         4.14E-19        0.00E+00
2676.23         4.26E-19        0.00E+00
2676.73         4.40E-19        0.00E+00
2677.22         4.54E-19        0.00E+00
2677.72         4.59E-19        0.00E+00
2678.22         4.56E-19        0.00E+00
2678.71         4.50E-19        0.00E+00
2679.21         4.37E-19        0.00E+00
2679.70         4.23E-19        0.00E+00
2680.20         4.13E-19        0.00E+00
2680.69         4.02E-19        0.00E+00
2681.19         3.99E-19        0.00E+00
2681.69         4.00E-19        0.00E+00
2682.18         4.07E-19        0.00E+00
2682.68         4.29E-19        0.00E+00
2683.17         4.50E-19        0.00E+00
2683.67         4.79E-19        0.00E+00
2684.16         5.08E-19        0.00E+00
2684.66         5.34E-19        0.00E+00
2685.15         5.58E-19        0.00E+00
2685.65         5.78E-19        0.00E+00
2686.15         5.87E-19        0.00E+00
2686.64         5.96E-19        0.00E+00
2687.14         5.82E-19        0.00E+00
2687.63         5.68E-19        0.00E+00
2688.13         5.46E-19        0.00E+00
2688.62         5.21E-19        0.00E+00
2689.12         4.97E-19        0.00E+00
2689.61         4.78E-19        0.00E+00
2690.11         4.59E-19        0.00E+00
2690.61         4.54E-19        0.00E+00
2691.10         4.48E-19        0.00E+00
2691.60         4.53E-19        0.00E+00
2692.09         4.61E-19        0.00E+00
2692.59         4.72E-19        0.00E+00
2693.08         4.87E-19        0.00E+00
2693.58         5.00E-19        0.00E+00
2694.08         4.99E-19        0.00E+00
2694.57         4.98E-19        0.00E+00
2695.07         4.85E-19        0.00E+00
2695.56         4.68E-19        0.00E+00
2696.06         4.56E-19        0.00E+00
2696.55         4.47E-19        0.00E+00
2697.05         4.40E-19        0.00E+00
2697.54         4.46E-19        0.00E+00
2698.04         4.51E-19        0.00E+00
2698.54         4.61E-19        0.00E+00
2699.03         4.70E-19        0.00E+00
2699.53         4.81E-19        0.00E+00
2700.02         4.92E-19        0.00E+00
2700.52         5.04E-19        0.00E+00
2701.01         5.18E-19        0.00E+00
2701.51         5.32E-19        0.00E+00
2702.00         5.36E-19        0.00E+00
2702.50         5.40E-19        0.00E+00
2703.00         5.35E-19        0.00E+00
2703.49         5.25E-19        0.00E+00
2703.99         5.15E-19        0.00E+00
2704.48         5.06E-19        0.00E+00
2704.98         4.96E-19        0.00E+00
2705.47         4.98E-19        0.00E+00
2705.97         4.99E-19        0.00E+00
2706.47         5.01E-19        0.00E+00
2706.96         5.03E-19        0.00E+00
2707.46         5.00E-19        0.00E+00
2707.95         4.91E-19        0.00E+00
2708.45         4.83E-19        0.00E+00
2708.94         4.77E-19        0.00E+00
2709.44         4.71E-19        0.00E+00
