0 Branching ratio for SO2       Total        1 branches    
Lambda          Total           SO/O
1882.27         2.89E-18        2.89E-18
1882.77         3.20E-18        3.20E-18
1883.26         3.92E-18        3.92E-18
1883.76         3.91E-18        3.91E-18
1884.25         3.37E-18        3.37E-18
1884.75         2.84E-18        2.84E-18
1885.24         2.45E-18        2.45E-18
1885.74         2.48E-18        2.48E-18
1886.24         2.82E-18        2.82E-18
1886.73         3.51E-18        3.51E-18
1887.23         4.25E-18        4.25E-18
1887.72         4.44E-18        4.44E-18
1888.22         4.58E-18        4.58E-18
1888.71         4.81E-18        4.81E-18
1889.21         4.80E-18        4.80E-18
1889.70         4.90E-18        4.90E-18
1890.20         4.97E-18        4.97E-18
1890.70         5.03E-18        5.03E-18
1891.19         5.08E-18        5.08E-18
1891.69         4.80E-18        4.80E-18
1892.18         4.57E-18        4.57E-18
1892.68         4.30E-18        4.30E-18
1893.17         3.83E-18        3.83E-18
1893.67         4.04E-18        4.04E-18
1894.17         4.26E-18        4.26E-18
1894.66         4.48E-18        4.48E-18
1895.16         4.39E-18        4.39E-18
1895.65         3.79E-18        3.79E-18
1896.15         3.48E-18        3.48E-18
1896.64         3.03E-18        3.03E-18
1897.14         3.60E-18        3.60E-18
1897.63         5.72E-18        5.72E-18
1898.13         7.30E-18        7.30E-18
1898.63         7.56E-18        7.56E-18
1899.12         7.13E-18        7.13E-18
1899.62         6.47E-18        6.47E-18
1900.11         5.88E-18        5.88E-18
1900.61         5.62E-18        5.62E-18
1901.10         5.93E-18        5.93E-18
1901.60         6.17E-18        6.17E-18
1902.10         6.03E-18        6.03E-18
1902.59         6.43E-18        6.43E-18
1903.09         7.83E-18        7.83E-18
1903.58         8.66E-18        8.66E-18
1904.08         8.69E-18        8.69E-18
1904.57         8.16E-18        8.16E-18
1905.07         8.07E-18        8.07E-18
1905.56         7.40E-18        7.40E-18
1906.06         6.67E-18        6.67E-18
1906.56         6.31E-18        6.31E-18
1907.05         6.13E-18        6.13E-18
1907.55         5.58E-18        5.58E-18
1908.04         5.12E-18        5.12E-18
1908.54         4.86E-18        4.86E-18
1909.03         5.09E-18        5.09E-18
1909.53         5.58E-18        5.58E-18
1910.02         5.47E-18        5.47E-18
1910.52         5.12E-18        5.12E-18
1911.02         4.56E-18        4.56E-18
1911.51         4.31E-18        4.31E-18
1912.01         4.38E-18        4.38E-18
1912.50         5.08E-18        5.08E-18
1913.00         5.76E-18        5.76E-18
1913.49         6.22E-18        6.22E-18
1913.99         6.50E-18        6.50E-18
1914.49         7.54E-18        7.54E-18
1914.98         8.67E-18        8.67E-18
1915.48         9.13E-18        9.13E-18
1915.97         8.55E-18        8.55E-18
1916.47         7.54E-18        7.54E-18
1916.96         6.64E-18        6.64E-18
1917.46         5.91E-18        5.91E-18
1917.95         5.79E-18        5.79E-18
1918.45         7.29E-18        7.29E-18
1918.95         8.62E-18        8.62E-18
1919.44         9.60E-18        9.60E-18
1919.94         9.87E-18        9.87E-18
1920.43         9.38E-18        9.38E-18
1920.93         8.33E-18        8.33E-18
1921.42         7.26E-18        7.26E-18
1921.92         6.22E-18        6.22E-18
1922.41         5.47E-18        5.47E-18
1922.91         4.69E-18        4.69E-18
1923.41         4.17E-18        4.17E-18
1923.90         4.27E-18        4.27E-18
1924.40         4.69E-18        4.69E-18
1924.89         5.27E-18        5.27E-18
1925.39         5.74E-18        5.74E-18
1925.88         6.51E-18        6.51E-18
1926.38         6.90E-18        6.90E-18
1926.88         6.91E-18        6.91E-18
1927.37         6.53E-18        6.53E-18
1927.87         5.83E-18        5.83E-18
1928.36         5.14E-18        5.14E-18
1928.86         4.84E-18        4.84E-18
1929.35         4.37E-18        4.37E-18
1929.85         4.58E-18        4.58E-18
1930.34         6.30E-18        6.30E-18
1930.84         9.90E-18        9.90E-18
1931.34         1.24E-17        1.24E-17
1931.83         1.37E-17        1.37E-17
1932.33         1.26E-17        1.26E-17
1932.82         1.10E-17        1.10E-17
