0 Branching ratio for OCS       Total        1 branches    
Lambda          Total           CO/S
1882.27         6.56E-20        6.56E-20
1882.77         6.46E-20        6.46E-20
1883.26         6.31E-20        6.31E-20
1883.76         6.25E-20        6.25E-20
1884.25         6.45E-20        6.45E-20
1884.75         6.57E-20        6.57E-20
1885.24         6.63E-20        6.63E-20
1885.74         6.72E-20        6.72E-20
1886.24         6.38E-20        6.38E-20
1886.73         5.96E-20        5.96E-20
1887.23         6.03E-20        6.03E-20
1887.72         5.83E-20        5.83E-20
1888.22         5.44E-20        5.44E-20
1888.71         4.92E-20        4.92E-20
1889.21         4.25E-20        4.25E-20
1889.70         4.09E-20        4.09E-20
1890.20         4.00E-20        4.00E-20
1890.70         3.78E-20        3.78E-20
1891.19         3.58E-20        3.58E-20
1891.69         3.54E-20        3.54E-20
1892.18         3.25E-20        3.25E-20
1892.68         3.01E-20        3.01E-20
1893.17         2.98E-20        2.98E-20
1893.67         3.04E-20        3.04E-20
1894.17         2.96E-20        2.96E-20
1894.66         3.06E-20        3.06E-20
1895.16         3.13E-20        3.13E-20
1895.65         3.45E-20        3.45E-20
1896.15         3.68E-20        3.68E-20
1896.64         3.83E-20        3.83E-20
1897.14         3.74E-20        3.74E-20
1897.63         3.71E-20        3.71E-20
1898.13         3.50E-20        3.50E-20
1898.63         3.21E-20        3.21E-20
1899.12         3.10E-20        3.10E-20
1899.62         3.10E-20        3.10E-20
1900.11         3.13E-20        3.13E-20
1900.61         3.04E-20        3.04E-20
1901.10         2.91E-20        2.91E-20
1901.60         2.77E-20        2.77E-20
1902.10         2.38E-20        2.38E-20
1902.59         2.21E-20        2.21E-20
1903.09         2.04E-20        2.04E-20
1903.58         1.92E-20        1.92E-20
1904.08         2.11E-20        2.11E-20
1904.57         2.15E-20        2.15E-20
1905.07         2.17E-20        2.17E-20
1905.56         1.97E-20        1.97E-20
1906.06         1.95E-20        1.95E-20
1906.56         1.89E-20        1.89E-20
1907.05         1.85E-20        1.85E-20
1907.55         1.91E-20        1.91E-20
1908.04         1.68E-20        1.68E-20
1908.54         1.83E-20        1.83E-20
1909.03         1.77E-20        1.77E-20
1909.53         1.64E-20        1.64E-20
1910.02         1.44E-20        1.44E-20
1910.52         1.36E-20        1.36E-20
1911.02         1.74E-20        1.74E-20
1911.51         1.74E-20        1.74E-20
1912.01         1.53E-20        1.53E-20
1912.50         1.25E-20        1.25E-20
1913.00         1.34E-20        1.34E-20
1913.49         1.37E-20        1.37E-20
1913.99         1.07E-20        1.07E-20
1914.49         1.44E-20        1.44E-20
1914.98         1.36E-20        1.36E-20
1915.48         1.56E-20        1.56E-20
1915.97         1.48E-20        1.48E-20
1916.47         1.24E-20        1.24E-20
1916.96         1.06E-20        1.06E-20
1917.46         1.46E-20        1.46E-20
1917.95         1.31E-20        1.31E-20
1918.45         1.46E-20        1.46E-20
1918.95         1.19E-20        1.19E-20
1919.44         1.43E-20        1.43E-20
1919.94         1.57E-20        1.57E-20
1920.43         1.34E-20        1.34E-20
1920.93         1.28E-20        1.28E-20
1921.42         1.27E-20        1.27E-20
1921.92         1.11E-20        1.11E-20
1922.41         1.15E-20        1.15E-20
1922.91         8.81E-21        8.81E-21
1923.41         9.58E-21        9.58E-21
1923.90         1.03E-20        1.03E-20
1924.40         1.33E-20        1.33E-20
1924.89         1.11E-20        1.11E-20
1925.39         1.11E-20        1.11E-20
1925.88         9.30E-21        9.30E-21
1926.38         1.03E-20        1.03E-20
1926.88         1.25E-20        1.25E-20
1927.37         1.23E-20        1.23E-20
1927.87         1.23E-20        1.23E-20
1928.36         1.36E-20        1.36E-20
1928.86         1.47E-20        1.47E-20
1929.35         1.44E-20        1.44E-20
1929.85         1.53E-20        1.53E-20
1930.34         1.52E-20        1.52E-20
1930.84         1.52E-20        1.52E-20
1931.34         1.44E-20        1.44E-20
1931.83         1.18E-20        1.18E-20
1932.33         9.03E-21        9.03E-21
1932.82         5.91E-21        5.91E-21
1933.32         4.32E-21        4.32E-21
1933.81         4.10E-21        4.10E-21
1934.31         3.11E-21        3.11E-21
1934.81         4.09E-21        4.09E-21
1935.30         6.90E-21        6.90E-21
1935.80         8.40E-21        8.40E-21
1936.29         8.60E-21        8.60E-21
1936.79         8.08E-21        8.08E-21
1937.28         6.96E-21        6.96E-21
1937.78         7.46E-21        7.46E-21
1938.27         1.03E-20        1.03E-20
1938.77         1.10E-20        1.10E-20
1939.27         1.17E-20        1.17E-20
1939.76         1.43E-20        1.43E-20
1940.26         1.39E-20        1.39E-20
1940.75         1.29E-20        1.29E-20
1941.25         1.53E-20        1.53E-20
1941.74         1.83E-20        1.83E-20
1942.24         1.85E-20        1.85E-20
1942.73         1.76E-20        1.76E-20
1943.23         1.73E-20        1.73E-20
1943.73         1.73E-20        1.73E-20
1944.22         1.65E-20        1.65E-20
1944.72         1.54E-20        1.54E-20
1945.21         1.70E-20        1.70E-20
1945.71         1.80E-20        1.80E-20
1946.20         1.77E-20        1.77E-20
1946.70         1.73E-20        1.73E-20
1947.20         1.65E-20        1.65E-20
1947.69         1.37E-20        1.37E-20
1948.19         1.29E-20        1.29E-20
1948.68         1.26E-20        1.26E-20
1949.18         1.44E-20        1.44E-20
1949.67         1.76E-20        1.76E-20
1950.17         1.72E-20        1.72E-20
1950.66         1.78E-20        1.78E-20
1951.16         1.76E-20        1.76E-20
1951.66         1.75E-20        1.75E-20
1952.15         1.81E-20        1.81E-20
1952.65         1.80E-20        1.80E-20
1953.14         1.77E-20        1.77E-20
1953.64         1.80E-20        1.80E-20
1954.13         1.75E-20        1.75E-20
1954.63         1.78E-20        1.78E-20
1955.13         1.76E-20        1.76E-20
1955.62         1.73E-20        1.73E-20
1956.12         1.77E-20        1.77E-20
1956.61         1.83E-20        1.83E-20
1957.11         1.81E-20        1.81E-20
1957.60         1.82E-20        1.82E-20
1958.10         1.84E-20        1.84E-20
1958.59         1.82E-20        1.82E-20
1959.09         1.85E-20        1.85E-20
1959.59         1.88E-20        1.88E-20
1960.08         1.89E-20        1.89E-20
1960.58         1.93E-20        1.93E-20
1961.07         1.91E-20        1.91E-20
1961.57         1.93E-20        1.93E-20
1962.06         1.93E-20        1.93E-20
1962.56         2.02E-20        2.02E-20
1963.05         1.98E-20        1.98E-20
1963.55         2.05E-20        2.05E-20
1964.05         2.06E-20        2.06E-20
1964.54         2.09E-20        2.09E-20
1965.04         2.10E-20        2.10E-20
1965.53         2.11E-20        2.11E-20
1966.03         2.15E-20        2.15E-20
1966.52         2.18E-20        2.18E-20
1967.02         2.15E-20        2.15E-20
1967.52         2.17E-20        2.17E-20
1968.01         2.14E-20        2.14E-20
1968.51         2.14E-20        2.14E-20
1969.00         2.14E-20        2.14E-20
1969.50         2.19E-20        2.19E-20
1969.99         2.19E-20        2.19E-20
1970.49         2.21E-20        2.21E-20
1970.98         2.28E-20        2.28E-20
1971.48         2.22E-20        2.22E-20
1971.98         2.26E-20        2.26E-20
1972.47         2.27E-20        2.27E-20
1972.97         2.32E-20        2.32E-20
1973.46         2.35E-20        2.35E-20
1973.96         2.29E-20        2.29E-20
1974.45         2.31E-20        2.31E-20
1974.95         2.34E-20        2.34E-20
1975.44         2.28E-20        2.28E-20
1975.94         2.29E-20        2.29E-20
1976.44         2.37E-20        2.37E-20
1976.93         2.36E-20        2.36E-20
1977.43         2.41E-20        2.41E-20
1977.92         2.45E-20        2.45E-20
1978.42         2.49E-20        2.49E-20
1978.91         2.55E-20        2.55E-20
1979.41         2.55E-20        2.55E-20
1979.91         2.60E-20        2.60E-20
1980.40         2.58E-20        2.58E-20
1980.90         2.67E-20        2.67E-20
1981.39         2.66E-20        2.66E-20
1981.89         2.65E-20        2.65E-20
1982.38         2.64E-20        2.64E-20
1982.88         2.59E-20        2.59E-20
1983.37         2.62E-20        2.62E-20
1983.87         2.65E-20        2.65E-20
1984.37         2.68E-20        2.68E-20
1984.86         2.72E-20        2.72E-20
