0 Branching ratio for O2       Total        1 branches    
Lambda          Total           O/O
1882.27         1.12E-22        1.12E-22
1882.77         1.10E-22        1.10E-22
1883.26         1.08E-22        1.08E-22
1883.76         1.06E-22        1.06E-22
1884.25         1.04E-22        1.04E-22
1884.75         1.02E-22        1.02E-22
1885.24         1.00E-22        1.00E-22
1885.74         9.81E-23        9.81E-23
1886.24         9.61E-23        9.61E-23
1886.73         9.42E-23        9.42E-23
1887.23         9.22E-23        9.22E-23
1887.72         9.02E-23        9.02E-23
1888.22         8.82E-23        8.82E-23
1888.71         8.62E-23        8.62E-23
1889.21         8.43E-23        8.43E-23
1889.70         8.23E-23        8.23E-23
1890.20         8.03E-23        8.03E-23
1890.70         7.83E-23        7.83E-23
1891.19         7.64E-23        7.64E-23
1891.69         7.44E-23        7.44E-23
1892.18         7.24E-23        7.24E-23
1892.68         7.04E-23        7.04E-23
1893.17         6.85E-23        6.85E-23
1893.67         6.65E-23        6.65E-23
1894.17         6.45E-23        6.45E-23
1894.66         6.25E-23        6.25E-23
1895.16         6.06E-23        6.06E-23
1895.65         5.86E-23        5.86E-23
1896.15         5.66E-23        5.66E-23
1896.64         5.46E-23        5.46E-23
1897.14         5.37E-23        5.37E-23
1897.63         5.33E-23        5.33E-23
1898.13         5.28E-23        5.28E-23
1898.63         5.24E-23        5.24E-23
1899.12         5.20E-23        5.20E-23
1899.62         5.15E-23        5.15E-23
1900.11         5.12E-23        5.12E-23
1900.61         5.10E-23        5.10E-23
1901.10         5.09E-23        5.09E-23
1901.60         5.07E-23        5.07E-23
1902.10         5.05E-23        5.05E-23
1902.59         5.03E-23        5.03E-23
1903.09         5.01E-23        5.01E-23
1903.58         5.00E-23        5.00E-23
1904.08         4.98E-23        4.98E-23
1904.57         4.96E-23        4.96E-23
1905.07         4.94E-23        4.94E-23
1905.56         4.92E-23        4.92E-23
1906.06         4.90E-23        4.90E-23
1906.56         4.89E-23        4.89E-23
1907.05         4.87E-23        4.87E-23
1907.55         4.85E-23        4.85E-23
1908.04         4.83E-23        4.83E-23
1908.54         4.81E-23        4.81E-23
1909.03         4.80E-23        4.80E-23
1909.53         4.78E-23        4.78E-23
1910.02         4.76E-23        4.76E-23
1910.52         4.74E-23        4.74E-23
1911.02         4.72E-23        4.72E-23
1911.51         4.71E-23        4.71E-23
1912.01         4.69E-23        4.69E-23
1912.50         4.67E-23        4.67E-23
1913.00         4.65E-23        4.65E-23
1913.49         4.63E-23        4.63E-23
1913.99         4.62E-23        4.62E-23
1914.49         4.60E-23        4.60E-23
1914.98         4.58E-23        4.58E-23
1915.48         4.56E-23        4.56E-23
1915.97         4.54E-23        4.54E-23
1916.47         4.52E-23        4.52E-23
1916.96         4.52E-23        4.52E-23
1917.46         4.52E-23        4.52E-23
1917.95         4.52E-23        4.52E-23
1918.45         4.52E-23        4.52E-23
1918.95         4.51E-23        4.51E-23
1919.44         4.49E-23        4.49E-23
1919.94         4.47E-23        4.47E-23
1920.43         4.46E-23        4.46E-23
1920.93         4.44E-23        4.44E-23
1921.42         4.42E-23        4.42E-23
1921.92         4.40E-23        4.40E-23
1922.41         4.38E-23        4.38E-23
1922.91         4.36E-23        4.36E-23
1923.41         4.35E-23        4.35E-23
1923.90         4.33E-23        4.33E-23
1924.40         4.31E-23        4.31E-23
1924.89         4.29E-23        4.29E-23
1925.39         4.27E-23        4.27E-23
1925.88         4.26E-23        4.26E-23
1926.38         4.24E-23        4.24E-23
1926.88         4.22E-23        4.22E-23
1927.37         4.20E-23        4.20E-23
1927.87         4.18E-23        4.18E-23
1928.36         4.16E-23        4.16E-23
1928.86         4.15E-23        4.15E-23
1929.35         4.13E-23        4.13E-23
1929.85         4.11E-23        4.11E-23
1930.34         4.09E-23        4.09E-23
1930.84         4.07E-23        4.07E-23
1931.34         4.05E-23        4.05E-23
1931.83         4.04E-23        4.04E-23
1932.33         4.02E-23        4.02E-23
1932.82         4.00E-23        4.00E-23
1933.32         3.98E-23        3.98E-23
1933.81         3.96E-23        3.96E-23
1934.31         3.94E-23        3.94E-23
1934.81         3.93E-23        3.93E-23
1935.30         3.91E-23        3.91E-23
1935.80         3.89E-23        3.89E-23
1936.29         3.85E-23        3.85E-23
1936.79         3.81E-23        3.81E-23
1937.28         3.77E-23        3.77E-23
1937.78         3.73E-23        3.73E-23
1938.27         3.55E-23        3.55E-23
1938.77         3.44E-23        3.44E-23
1939.27         3.40E-23        3.40E-23
1939.76         3.36E-23        3.36E-23
1940.26         3.32E-23        3.32E-23
1940.75         3.28E-23        3.28E-23
1941.25         3.24E-23        3.24E-23
1941.74         3.19E-23        3.19E-23
1942.24         3.15E-23        3.15E-23
1942.73         3.11E-23        3.11E-23
1943.23         3.07E-23        3.07E-23
1943.73         3.03E-23        3.03E-23
1944.22         3.01E-23        3.01E-23
1944.72         3.00E-23        3.00E-23
1945.21         3.00E-23        3.00E-23
1945.71         2.99E-23        2.99E-23
1946.20         2.99E-23        2.99E-23
1946.70         2.97E-23        2.97E-23
1947.20         2.96E-23        2.96E-23
1947.69         2.95E-23        2.95E-23
1948.19         2.94E-23        2.94E-23
1948.68         2.93E-23        2.93E-23
1949.18         2.91E-23        2.91E-23
1949.67         2.90E-23        2.90E-23
