0 Branching ratio for O2       Total        1 branches    
Lambda          Total           O/O
2345.66         6.47E-24        6.47E-24
2346.16         6.47E-24        6.47E-24
2346.65         6.46E-24        6.46E-24
2347.15         6.44E-24        6.44E-24
2347.65         6.41E-24        6.41E-24
2348.14         6.38E-24        6.38E-24
2348.64         6.37E-24        6.37E-24
2349.13         6.36E-24        6.36E-24
2349.63         6.34E-24        6.34E-24
2350.12         6.33E-24        6.33E-24
2350.62         6.31E-24        6.31E-24
2351.12         6.30E-24        6.30E-24
2351.61         6.30E-24        6.30E-24
2352.11         6.29E-24        6.29E-24
2352.60         6.26E-24        6.26E-24
2353.10         6.23E-24        6.23E-24
2353.59         6.21E-24        6.21E-24
2354.09         6.19E-24        6.19E-24
2354.58         6.18E-24        6.18E-24
2355.08         6.17E-24        6.17E-24
2355.58         6.16E-24        6.16E-24
2356.07         6.15E-24        6.15E-24
2356.57         6.14E-24        6.14E-24
2357.06         6.14E-24        6.14E-24
2357.56         6.12E-24        6.12E-24
2358.05         6.10E-24        6.10E-24
2358.55         6.09E-24        6.09E-24
2359.04         6.07E-24        6.07E-24
2359.54         6.06E-24        6.06E-24
2360.04         6.05E-24        6.05E-24
2360.53         6.06E-24        6.06E-24
2361.03         6.06E-24        6.06E-24
2361.52         6.06E-24        6.06E-24
2362.02         6.05E-24        6.05E-24
2362.51         6.04E-24        6.04E-24
2363.01         6.01E-24        6.01E-24
2363.51         5.99E-24        5.99E-24
2364.00         5.97E-24        5.97E-24
2364.50         5.95E-24        5.95E-24
2364.99         5.93E-24        5.93E-24
2365.49         5.92E-24        5.92E-24
2365.98         5.90E-24        5.90E-24
2366.48         5.89E-24        5.89E-24
2366.97         5.87E-24        5.87E-24
2367.47         5.86E-24        5.86E-24
2367.97         5.84E-24        5.84E-24
2368.46         5.83E-24        5.83E-24
2368.96         5.81E-24        5.81E-24
2369.45         5.80E-24        5.80E-24
2369.95         5.79E-24        5.79E-24
2370.44         5.78E-24        5.78E-24
2370.94         5.77E-24        5.77E-24
2371.44         5.75E-24        5.75E-24
2371.93         5.74E-24        5.74E-24
2372.43         5.72E-24        5.72E-24
2372.92         5.70E-24        5.70E-24
2373.42         5.69E-24        5.69E-24
2373.91         5.67E-24        5.67E-24
2374.41         5.64E-24        5.64E-24
2374.90         5.61E-24        5.61E-24
2375.40         5.58E-24        5.58E-24
2375.90         5.57E-24        5.57E-24
2376.39         5.56E-24        5.56E-24
2376.89         5.54E-24        5.54E-24
2377.38         5.53E-24        5.53E-24
2377.88         5.52E-24        5.52E-24
2378.37         5.51E-24        5.51E-24
2378.87         5.50E-24        5.50E-24
2379.36         5.48E-24        5.48E-24
2379.86         5.46E-24        5.46E-24
2380.36         5.43E-24        5.43E-24
2380.85         5.42E-24        5.42E-24
2381.35         5.41E-24        5.41E-24
2381.84         5.40E-24        5.40E-24
2382.34         5.39E-24        5.39E-24
2382.83         5.37E-24        5.37E-24
2383.33         5.36E-24        5.36E-24
2383.83         5.33E-24        5.33E-24
2384.32         5.31E-24        5.31E-24
2384.82         5.29E-24        5.29E-24
2385.31         5.28E-24        5.28E-24
2385.81         5.27E-24        5.27E-24
2386.30         5.25E-24        5.25E-24
2386.80         5.22E-24        5.22E-24
2387.29         5.21E-24        5.21E-24
2387.79         5.20E-24        5.20E-24
2388.29         5.19E-24        5.19E-24
2388.78         5.18E-24        5.18E-24
2389.28         5.16E-24        5.16E-24
2389.77         5.15E-24        5.15E-24
2390.27         5.12E-24        5.12E-24
2390.76         5.10E-24        5.10E-24
2391.26         5.08E-24        5.08E-24
2391.75         5.07E-24        5.07E-24
2392.25         5.05E-24        5.05E-24
2392.75         5.05E-24        5.05E-24
2393.24         5.05E-24        5.05E-24
2393.74         5.04E-24        5.04E-24
2394.23         5.01E-24        5.01E-24
2394.73         4.99E-24        4.99E-24
2395.22         4.99E-24        4.99E-24
2395.72         4.99E-24        4.99E-24
2396.22         4.97E-24        4.97E-24
2396.71         4.95E-24        4.95E-24
2397.21         4.93E-24        4.93E-24
2397.70         4.92E-24        4.92E-24
2398.20         4.90E-24        4.90E-24
2398.69         4.89E-24        4.89E-24
2399.19         4.88E-24        4.88E-24
2399.68         4.87E-24        4.87E-24
2400.18         4.86E-24        0.00E+00
2400.68         4.84E-24        0.00E+00
2401.17         4.83E-24        0.00E+00
2401.67         4.81E-24        0.00E+00
2402.16         4.80E-24        0.00E+00
2402.66         4.78E-24        0.00E+00
2403.15         4.76E-24        0.00E+00
2403.65         4.73E-24        0.00E+00
2404.15         4.73E-24        0.00E+00
2404.64         4.72E-24        0.00E+00
2405.14         4.71E-24        0.00E+00
2405.63         4.69E-24        0.00E+00
2406.13         4.66E-24        0.00E+00
2406.62         4.65E-24        0.00E+00
2407.12         4.64E-24        0.00E+00
2407.61         4.63E-24        0.00E+00
2408.11         4.62E-24        0.00E+00
2408.61         4.60E-24        0.00E+00
2409.10         4.59E-24        0.00E+00
2409.60         4.57E-24        0.00E+00
2410.09         4.56E-24        0.00E+00
2410.59         4.54E-24        0.00E+00
2411.08         4.53E-24        0.00E+00
2411.58         4.51E-24        0.00E+00
2412.07         4.49E-24        0.00E+00
2412.57         4.47E-24        0.00E+00
2413.07         4.47E-24        0.00E+00
2413.56         4.46E-24        0.00E+00
2414.06         4.45E-24        0.00E+00
2414.55         4.44E-24        0.00E+00
2415.05         4.43E-24        0.00E+00
2415.54         4.42E-24        0.00E+00
2416.04         4.40E-24        0.00E+00
2416.54         4.39E-24        0.00E+00
2417.03         4.38E-24        0.00E+00
2417.53         4.36E-24        0.00E+00
2418.02         4.34E-24        0.00E+00
2418.52         4.32E-24        0.00E+00
2419.01         4.29E-24        0.00E+00
2419.51         4.30E-24        0.00E+00
2420.00         4.30E-24        0.00E+00
2420.50         4.30E-24        0.00E+00
2421.00         4.30E-24        0.00E+00
2421.49         4.29E-24        0.00E+00
2421.99         4.27E-24        0.00E+00
2422.48         4.25E-24        0.00E+00
2422.98         4.23E-24        0.00E+00
2423.47         4.21E-24        0.00E+00
2423.97         4.20E-24        0.00E+00
2424.46         4.17E-24        0.00E+00
2424.96         4.15E-24        0.00E+00
2425.46         4.12E-24        0.00E+00
2425.95         4.08E-24        0.00E+00
2426.45         4.05E-24        0.00E+00
2426.94         4.02E-24        0.00E+00
2427.44         4.00E-24        0.00E+00
2427.93         3.99E-24        0.00E+00
2428.43         4.02E-24        0.00E+00
2428.93         4.06E-24        0.00E+00
2429.42         4.12E-24        0.00E+00
2429.92         4.19E-24        0.00E+00
2430.41         4.26E-24        0.00E+00
2430.91         4.27E-24        0.00E+00
2431.40         4.28E-24        0.00E+00
2431.90         4.26E-24        0.00E+00
2432.39         4.19E-24        0.00E+00
2432.89         4.12E-24        0.00E+00
2433.39         4.06E-24        0.00E+00
2433.88         3.99E-24        0.00E+00
2434.38         3.92E-24        0.00E+00
2434.87         3.85E-24        0.00E+00
2435.37         3.77E-24        0.00E+00
2435.86         3.72E-24        0.00E+00
2436.36         3.66E-24        0.00E+00
2436.86         3.62E-24        0.00E+00
2437.35         3.58E-24        0.00E+00
2437.85         3.55E-24        0.00E+00
2438.34         3.55E-24        0.00E+00
2438.84         3.56E-24        0.00E+00
2439.33         3.56E-24        0.00E+00
2439.83         3.57E-24        0.00E+00
2440.32         3.58E-24        0.00E+00
2440.82         3.58E-24        0.00E+00
2441.32         3.56E-24        0.00E+00
2441.81         3.54E-24        0.00E+00
2442.31         3.66E-24        0.00E+00
2442.80         3.78E-24        0.00E+00
2443.30         3.90E-24        0.00E+00
2443.79         4.04E-24        0.00E+00
2444.29         4.17E-24        0.00E+00
2444.78         4.18E-24        0.00E+00
2445.28         4.17E-24        0.00E+00
2445.78         4.15E-24        0.00E+00
2446.27         4.09E-24        0.00E+00
2446.77         4.03E-24        0.00E+00
2447.26         3.95E-24        0.00E+00
2447.76         3.86E-24        0.00E+00
2448.25         3.77E-24        0.00E+00
2448.75         3.69E-24        0.00E+00
2449.25         3.61E-24        0.00E+00
2449.74         3.54E-24        0.00E+00
2450.24         3.47E-24        0.00E+00
2450.73         3.42E-24        0.00E+00
2451.23         3.37E-24        0.00E+00
2451.72         3.33E-24        0.00E+00
2452.22         3.30E-24        0.00E+00
2452.71         3.28E-24        0.00E+00
2453.21         3.26E-24        0.00E+00
2453.71         3.23E-24        0.00E+00
2454.20         3.20E-24        0.00E+00
2454.70         3.20E-24        0.00E+00
2455.19         3.21E-24        0.00E+00
2455.69         3.22E-24        0.00E+00
2456.18         3.20E-24        0.00E+00
2456.68         3.18E-24        0.00E+00
2457.18         3.17E-24        0.00E+00
2457.67         3.17E-24        0.00E+00
2458.17         3.17E-24        0.00E+00
2458.66         3.17E-24        0.00E+00
2459.16         3.16E-24        0.00E+00
2459.65         3.14E-24        0.00E+00
2460.15         3.10E-24        0.00E+00
2460.64         3.06E-24        0.00E+00
2461.14         3.08E-24        0.00E+00
2461.64         3.10E-24        0.00E+00
2462.13         3.18E-24        0.00E+00
2462.63         3.32E-24        0.00E+00
2463.12         3.47E-24        0.00E+00
2463.62         3.65E-24        0.00E+00
2464.11         3.84E-24        0.00E+00
2464.61         3.95E-24        0.00E+00
2465.10         3.98E-24        0.00E+00
2465.60         4.01E-24        0.00E+00
2466.10         3.93E-24        0.00E+00
2466.59         3.84E-24        0.00E+00
2467.09         3.74E-24        0.00E+00
2467.58         3.63E-24        0.00E+00
2468.08         3.51E-24        0.00E+00
2468.57         3.43E-24        0.00E+00
2469.07         3.35E-24        0.00E+00
2469.57         3.27E-24        0.00E+00
2470.06         3.21E-24        0.00E+00
2470.56         3.14E-24        0.00E+00
2471.05         3.11E-24        0.00E+00
2471.55         3.08E-24        0.00E+00
2472.04         3.05E-24        0.00E+00
2472.54         3.03E-24        0.00E+00
2473.03         3.00E-24        0.00E+00
2473.53         2.98E-24        0.00E+00
2474.03         2.96E-24        0.00E+00
2474.52         2.94E-24        0.00E+00
2475.02         2.92E-24        0.00E+00
2475.51         2.91E-24        0.00E+00
2476.01         2.87E-24        0.00E+00
2476.50         2.83E-24        0.00E+00
2477.00         2.79E-24        0.00E+00
2477.49         2.79E-24        0.00E+00
2477.99         2.79E-24        0.00E+00
2478.49         2.76E-24        0.00E+00
2478.98         2.73E-24        0.00E+00
2479.48         2.71E-24        0.00E+00
2479.97         2.73E-24        0.00E+00
2480.47         2.74E-24        0.00E+00
2480.96         2.76E-24        0.00E+00
2481.46         2.78E-24        0.00E+00
2481.96         2.80E-24        0.00E+00
2482.45         2.77E-24        0.00E+00
2482.95         2.74E-24        0.00E+00
2483.44         2.71E-24        0.00E+00
2483.94         2.68E-24        0.00E+00
2484.43         2.65E-24        0.00E+00
2484.93         2.65E-24        0.00E+00
2485.42         2.65E-24        0.00E+00
2485.92         2.65E-24        0.00E+00
2486.42         2.65E-24        0.00E+00
2486.91         2.67E-24        0.00E+00
2487.41         2.75E-24        0.00E+00
2487.90         2.82E-24        0.00E+00
2488.40         3.02E-24        0.00E+00
2488.89         3.26E-24        0.00E+00
2489.39         3.47E-24        0.00E+00
2489.89         3.59E-24        0.00E+00
2490.38         3.72E-24        0.00E+00
2490.88         3.68E-24        0.00E+00
2491.37         3.60E-24        0.00E+00
2491.87         3.50E-24        0.00E+00
2492.36         3.39E-24        0.00E+00
2492.86         3.27E-24        0.00E+00
2493.35         3.20E-24        0.00E+00
2493.85         3.14E-24        0.00E+00
2494.35         3.08E-24        0.00E+00
2494.84         3.02E-24        0.00E+00
2495.34         2.97E-24        0.00E+00
2495.83         2.94E-24        0.00E+00
2496.33         2.92E-24        0.00E+00
2496.82         2.89E-24        0.00E+00
2497.32         2.87E-24        0.00E+00
2497.81         2.85E-24        0.00E+00
2498.31         2.81E-24        0.00E+00
2498.81         2.77E-24        0.00E+00
2499.30         2.73E-24        0.00E+00
2499.80         2.70E-24        0.00E+00
2500.29         2.67E-24        0.00E+00
2500.79         2.60E-24        0.00E+00
2501.28         2.53E-24        0.00E+00
2501.78         2.48E-24        0.00E+00
2502.28         2.46E-24        0.00E+00
2502.77         2.43E-24        0.00E+00
2503.27         2.39E-24        0.00E+00
2503.76         2.35E-24        0.00E+00
2504.26         2.32E-24        0.00E+00
2504.75         2.29E-24        0.00E+00
2505.25         2.26E-24        0.00E+00
2505.74         2.27E-24        0.00E+00
2506.24         2.28E-24        0.00E+00
2506.74         2.29E-24        0.00E+00
2507.23         2.29E-24        0.00E+00
2507.73         2.29E-24        0.00E+00
2508.22         2.31E-24        0.00E+00
2508.72         2.34E-24        0.00E+00
2509.21         2.36E-24        0.00E+00
2509.71         2.39E-24        0.00E+00
2510.21         2.41E-24        0.00E+00
2510.70         2.39E-24        0.00E+00
2511.20         2.38E-24        0.00E+00
2511.69         2.36E-24        0.00E+00
2512.19         2.34E-24        0.00E+00
2512.68         2.33E-24        0.00E+00
2513.18         2.33E-24        0.00E+00
2513.67         2.33E-24        0.00E+00
2514.17         2.33E-24        0.00E+00
2514.67         2.34E-24        0.00E+00
2515.16         2.36E-24        0.00E+00
2515.66         2.38E-24        0.00E+00
2516.15         2.40E-24        0.00E+00
2516.65         2.43E-24        0.00E+00
2517.14         2.47E-24        0.00E+00
2517.64         2.52E-24        0.00E+00
2518.13         2.61E-24        0.00E+00
2518.63         2.71E-24        0.00E+00
2519.13         2.85E-24        0.00E+00
2519.62         3.00E-24        0.00E+00
2520.12         3.11E-24        0.00E+00
2520.61         3.15E-24        0.00E+00
2521.11         3.18E-24        0.00E+00
2521.60         3.12E-24        0.00E+00
2522.10         3.04E-24        0.00E+00
2522.60         2.96E-24        0.00E+00
2523.09         2.88E-24        0.00E+00
2523.59         2.80E-24        0.00E+00
2524.08         2.75E-24        0.00E+00
2524.58         2.71E-24        0.00E+00
2525.07         2.68E-24        0.00E+00
2525.57         2.65E-24        0.00E+00
2526.06         2.62E-24        0.00E+00
2526.56         2.59E-24        0.00E+00
2527.06         2.56E-24        0.00E+00
2527.55         2.53E-24        0.00E+00
2528.05         2.49E-24        0.00E+00
2528.54         2.45E-24        0.00E+00
2529.04         2.42E-24        0.00E+00
2529.53         2.39E-24        0.00E+00
2530.03         2.34E-24        0.00E+00
2530.52         2.29E-24        0.00E+00
2531.02         2.24E-24        0.00E+00
2531.52         2.20E-24        0.00E+00
2532.01         2.15E-24        0.00E+00
2532.51         2.13E-24        0.00E+00
2533.00         2.11E-24        0.00E+00
2533.50         2.09E-24        0.00E+00
2533.99         2.05E-24        0.00E+00
2534.49         2.01E-24        0.00E+00
2534.99         2.00E-24        0.00E+00
2535.48         1.99E-24        0.00E+00
2535.98         1.98E-24        0.00E+00
2536.47         1.97E-24        0.00E+00
2536.97         1.97E-24        0.00E+00
2537.46         1.95E-24        0.00E+00
2537.96         1.94E-24        0.00E+00
2538.45         1.94E-24        0.00E+00
2538.95         1.95E-24        0.00E+00
2539.45         1.97E-24        0.00E+00
2539.94         2.00E-24        0.00E+00
2540.44         2.03E-24        0.00E+00
2540.93         2.06E-24        0.00E+00
2541.43         2.08E-24        0.00E+00
2541.92         2.10E-24        0.00E+00
2542.42         2.12E-24        0.00E+00
2542.92         2.13E-24        0.00E+00
2543.41         2.13E-24        0.00E+00
2543.91         2.12E-24        0.00E+00
2544.40         2.11E-24        0.00E+00
2544.90         2.09E-24        0.00E+00
2545.39         2.07E-24        0.00E+00
2545.89         2.06E-24        0.00E+00
2546.38         2.05E-24        0.00E+00
2546.88         2.04E-24        0.00E+00
2547.38         2.04E-24        0.00E+00
2547.87         2.04E-24        0.00E+00
2548.37         2.06E-24        0.00E+00
2548.86         2.07E-24        0.00E+00
2549.36         2.08E-24        0.00E+00
2549.85         2.10E-24        0.00E+00
2550.35         2.12E-24        0.00E+00
2550.84         2.13E-24        0.00E+00
2551.34         2.15E-24        0.00E+00
2551.84         2.16E-24        0.00E+00
2552.33         2.16E-24        0.00E+00
2552.83         2.18E-24        0.00E+00
2553.32         2.24E-24        0.00E+00
2553.82         2.30E-24        0.00E+00
2554.31         2.40E-24        0.00E+00
2554.81         2.50E-24        0.00E+00
2555.31         2.58E-24        0.00E+00
2555.80         2.59E-24        0.00E+00
2556.30         2.60E-24        0.00E+00
2556.79         2.56E-24        0.00E+00
2557.29         2.52E-24        0.00E+00
2557.78         2.47E-24        0.00E+00
2558.28         2.43E-24        0.00E+00
2558.77         2.38E-24        0.00E+00
2559.27         2.36E-24        0.00E+00
2559.77         2.34E-24        0.00E+00
2560.26         2.32E-24        0.00E+00
2560.76         2.30E-24        0.00E+00
2561.25         2.28E-24        0.00E+00
2561.75         2.24E-24        0.00E+00
2562.24         2.21E-24        0.00E+00
2562.74         2.17E-24        0.00E+00
2563.23         2.13E-24        0.00E+00
2563.73         2.09E-24        0.00E+00
2564.23         2.06E-24        0.00E+00
2564.72         2.03E-24        0.00E+00
2565.22         1.99E-24        0.00E+00
2565.71         1.95E-24        0.00E+00
2566.21         1.92E-24        0.00E+00
2566.70         1.90E-24        0.00E+00
2567.20         1.87E-24        0.00E+00
2567.70         1.87E-24        0.00E+00
2568.19         1.86E-24        0.00E+00
2568.69         1.84E-24        0.00E+00
2569.18         1.82E-24        0.00E+00
2569.68         1.79E-24        0.00E+00
2570.17         1.79E-24        0.00E+00
2570.67         1.79E-24        0.00E+00
2571.16         1.77E-24        0.00E+00
2571.66         1.75E-24        0.00E+00
2572.16         1.74E-24        0.00E+00
2572.65         1.72E-24        0.00E+00
2573.15         1.70E-24        0.00E+00
2573.64         1.71E-24        0.00E+00
2574.14         1.71E-24        0.00E+00
2574.63         1.71E-24        0.00E+00
2575.13         1.71E-24        0.00E+00
2575.63         1.71E-24        0.00E+00
2576.12         1.70E-24        0.00E+00
2576.62         1.70E-24        0.00E+00
2577.11         1.71E-24        0.00E+00
2577.61         1.73E-24        0.00E+00
2578.10         1.75E-24        0.00E+00
2578.60         1.77E-24        0.00E+00
2579.09         1.78E-24        0.00E+00
2579.59         1.80E-24        0.00E+00
2580.09         1.81E-24        0.00E+00
2580.58         1.81E-24        0.00E+00
2581.08         1.80E-24        0.00E+00
2581.57         1.80E-24        0.00E+00
2582.07         1.80E-24        0.00E+00
2582.56         1.80E-24        0.00E+00
2583.06         1.79E-24        0.00E+00
2583.55         1.79E-24        0.00E+00
2584.05         1.79E-24        0.00E+00
2584.55         1.79E-24        0.00E+00
2585.04         1.79E-24        0.00E+00
2585.54         1.79E-24        0.00E+00
2586.03         1.80E-24        0.00E+00
2586.53         1.81E-24        0.00E+00
2587.02         1.82E-24        0.00E+00
2587.52         1.84E-24        0.00E+00
2588.02         1.85E-24        0.00E+00
2588.51         1.86E-24        0.00E+00
2589.01         1.86E-24        0.00E+00
2589.50         1.86E-24        0.00E+00
2590.00         1.86E-24        0.00E+00
2590.49         1.85E-24        0.00E+00
2590.99         1.84E-24        0.00E+00
2591.48         1.84E-24        0.00E+00
2591.98         1.83E-24        0.00E+00
2592.48         1.85E-24        0.00E+00
2592.97         1.89E-24        0.00E+00
2593.47         1.93E-24        0.00E+00
2593.96         2.00E-24        0.00E+00
2594.46         2.07E-24        0.00E+00
2594.95         2.10E-24        0.00E+00
2595.45         2.10E-24        0.00E+00
2595.95         2.10E-24        0.00E+00
2596.44         2.08E-24        0.00E+00
2596.94         2.05E-24        0.00E+00
2597.43         2.03E-24        0.00E+00
2597.93         2.00E-24        0.00E+00
2598.42         1.99E-24        0.00E+00
2598.92         1.98E-24        0.00E+00
2599.41         1.97E-24        0.00E+00
2599.91         1.95E-24        0.00E+00
2600.41         1.92E-24        0.00E+00
2600.90         1.91E-24        0.00E+00
2601.40         1.90E-24        0.00E+00
2601.89         1.87E-24        0.00E+00
2602.39         1.84E-24        0.00E+00
2602.88         1.80E-24        0.00E+00
2603.38         1.78E-24        0.00E+00
2603.87         1.76E-24        0.00E+00
2604.37         1.74E-24        0.00E+00
2604.87         1.71E-24        0.00E+00
2605.36         1.69E-24        0.00E+00
2605.86         1.68E-24        0.00E+00
2606.35         1.67E-24        0.00E+00
2606.85         1.65E-24        0.00E+00
2607.34         1.64E-24        0.00E+00
2607.84         1.62E-24        0.00E+00
2608.34         1.59E-24        0.00E+00
2608.83         1.57E-24        0.00E+00
2609.33         1.56E-24        0.00E+00
2609.82         1.55E-24        0.00E+00
2610.32         1.54E-24        0.00E+00
2610.81         1.52E-24        0.00E+00
2611.31         1.51E-24        0.00E+00
2611.80         1.50E-24        0.00E+00
2612.30         1.49E-24        0.00E+00
2612.80         1.49E-24        0.00E+00
2613.29         1.49E-24        0.00E+00
2613.79         1.48E-24        0.00E+00
2614.28         1.47E-24        0.00E+00
2614.78         1.46E-24        0.00E+00
2615.27         1.46E-24        0.00E+00
2615.77         1.45E-24        0.00E+00
2616.26         1.46E-24        0.00E+00
2616.76         1.46E-24        0.00E+00
2617.26         1.46E-24        0.00E+00
2617.75         1.47E-24        0.00E+00
2618.25         1.48E-24        0.00E+00
2618.74         1.49E-24        0.00E+00
2619.24         1.50E-24        0.00E+00
2619.73         1.51E-24        0.00E+00
2620.23         1.52E-24        0.00E+00
2620.73         1.53E-24        0.00E+00
2621.22         1.55E-24        0.00E+00
2621.72         1.56E-24        0.00E+00
2622.21         1.56E-24        0.00E+00
2622.71         1.55E-24        0.00E+00
2623.20         1.55E-24        0.00E+00
2623.70         1.55E-24        0.00E+00
2624.19         1.55E-24        0.00E+00
2624.69         1.54E-24        0.00E+00
2625.19         1.54E-24        0.00E+00
2625.68         1.54E-24        0.00E+00
2626.18         1.54E-24        0.00E+00
2626.67         1.54E-24        0.00E+00
2627.17         1.54E-24        0.00E+00
2627.66         1.54E-24        0.00E+00
2628.16         1.54E-24        0.00E+00
2628.66         1.55E-24        0.00E+00
2629.15         1.56E-24        0.00E+00
2629.65         1.56E-24        0.00E+00
2630.14         1.57E-24        0.00E+00
2630.64         1.57E-24        0.00E+00
2631.13         1.57E-24        0.00E+00
2631.63         1.57E-24        0.00E+00
2632.12         1.56E-24        0.00E+00
2632.62         1.55E-24        0.00E+00
2633.12         1.55E-24        0.00E+00
2633.61         1.54E-24        0.00E+00
2634.11         1.54E-24        0.00E+00
2634.60         1.54E-24        0.00E+00
2635.10         1.54E-24        0.00E+00
2635.59         1.54E-24        0.00E+00
2636.09         1.55E-24        0.00E+00
2636.58         1.57E-24        0.00E+00
2637.08         1.60E-24        0.00E+00
2637.58         1.64E-24        0.00E+00
2638.07         1.68E-24        0.00E+00
2638.57         1.70E-24        0.00E+00
2639.06         1.71E-24        0.00E+00
2639.56         1.71E-24        0.00E+00
2640.05         1.70E-24        0.00E+00
2640.55         1.69E-24        0.00E+00
2641.05         1.68E-24        0.00E+00
2641.54         1.66E-24        0.00E+00
2642.04         1.65E-24        0.00E+00
2642.53         1.63E-24        0.00E+00
2643.03         1.62E-24        0.00E+00
2643.52         1.60E-24        0.00E+00
2644.02         1.58E-24        0.00E+00
2644.51         1.56E-24        0.00E+00
2645.01         1.54E-24        0.00E+00
2645.51         1.52E-24        0.00E+00
2646.00         1.50E-24        0.00E+00
2646.50         1.48E-24        0.00E+00
2646.99         1.47E-24        0.00E+00
2647.49         1.46E-24        0.00E+00
2647.98         1.44E-24        0.00E+00
2648.48         1.42E-24        0.00E+00
2648.97         1.41E-24        0.00E+00
2649.47         1.39E-24        0.00E+00
2649.97         1.38E-24        0.00E+00
2650.46         1.37E-24        0.00E+00
2650.96         1.36E-24        0.00E+00
2651.45         1.35E-24        0.00E+00
2651.95         1.34E-24        0.00E+00
2652.44         1.33E-24        0.00E+00
2652.94         1.33E-24        0.00E+00
2653.44         1.32E-24        0.00E+00
2653.93         1.32E-24        0.00E+00
2654.43         1.32E-24        0.00E+00
2654.92         1.31E-24        0.00E+00
2655.42         1.31E-24        0.00E+00
2655.91         1.30E-24        0.00E+00
2656.41         1.30E-24        0.00E+00
2656.90         1.30E-24        0.00E+00
2657.40         1.30E-24        0.00E+00
2657.90         1.30E-24        0.00E+00
2658.39         1.29E-24        0.00E+00
2658.89         1.29E-24        0.00E+00
2659.38         1.28E-24        0.00E+00
2659.88         1.28E-24        0.00E+00
2660.37         1.28E-24        0.00E+00
2660.87         1.28E-24        0.00E+00
2661.37         1.28E-24        0.00E+00
2661.86         1.28E-24        0.00E+00
2662.36         1.28E-24        0.00E+00
2662.85         1.27E-24        0.00E+00
2663.35         1.27E-24        0.00E+00
2663.84         1.28E-24        0.00E+00
2664.34         1.28E-24        0.00E+00
2664.83         1.29E-24        0.00E+00
2665.33         1.30E-24        0.00E+00
2665.83         1.30E-24        0.00E+00
2666.32         1.30E-24        0.00E+00
2666.82         1.31E-24        0.00E+00
2667.31         1.31E-24        0.00E+00
2667.81         1.31E-24        0.00E+00
2668.30         1.31E-24        0.00E+00
2668.80         1.30E-24        0.00E+00
2669.29         1.30E-24        0.00E+00
2669.79         1.29E-24        0.00E+00
2670.29         1.29E-24        0.00E+00
2670.78         1.29E-24        0.00E+00
2671.28         1.29E-24        0.00E+00
2671.77         1.29E-24        0.00E+00
2672.27         1.29E-24        0.00E+00
2672.76         1.30E-24        0.00E+00
2673.26         1.30E-24        0.00E+00
2673.76         1.31E-24        0.00E+00
2674.25         1.31E-24        0.00E+00
2674.75         1.31E-24        0.00E+00
2675.24         1.32E-24        0.00E+00
2675.74         1.32E-24        0.00E+00
2676.23         1.33E-24        0.00E+00
2676.73         1.33E-24        0.00E+00
2677.22         1.33E-24        0.00E+00
2677.72         1.32E-24        0.00E+00
2678.22         1.32E-24        0.00E+00
2678.71         1.31E-24        0.00E+00
2679.21         1.31E-24        0.00E+00
2679.70         1.30E-24        0.00E+00
2680.20         1.29E-24        0.00E+00
2680.69         1.28E-24        0.00E+00
2681.19         1.27E-24        0.00E+00
2681.69         1.27E-24        0.00E+00
2682.18         1.26E-24        0.00E+00
2682.68         1.25E-24        0.00E+00
2683.17         1.24E-24        0.00E+00
2683.67         1.24E-24        0.00E+00
2684.16         1.24E-24        0.00E+00
2684.66         1.26E-24        0.00E+00
2685.15         1.28E-24        0.00E+00
2685.65         1.30E-24        0.00E+00
2686.15         1.31E-24        0.00E+00
2686.64         1.32E-24        0.00E+00
2687.14         1.32E-24        0.00E+00
2687.63         1.32E-24        0.00E+00
2688.13         1.31E-24        0.00E+00
2688.62         1.30E-24        0.00E+00
2689.12         1.29E-24        0.00E+00
2689.61         1.28E-24        0.00E+00
2690.11         1.26E-24        0.00E+00
2690.61         1.25E-24        0.00E+00
2691.10         1.24E-24        0.00E+00
2691.60         1.23E-24        0.00E+00
2692.09         1.22E-24        0.00E+00
2692.59         1.22E-24        0.00E+00
2693.08         1.21E-24        0.00E+00
2693.58         1.20E-24        0.00E+00
2694.08         1.19E-24        0.00E+00
2694.57         1.18E-24        0.00E+00
2695.07         1.18E-24        0.00E+00
2695.56         1.18E-24        0.00E+00
2696.06         1.18E-24        0.00E+00
2696.55         1.17E-24        0.00E+00
2697.05         1.16E-24        0.00E+00
2697.54         1.15E-24        0.00E+00
2698.04         1.15E-24        0.00E+00
2698.54         1.14E-24        0.00E+00
2699.03         1.14E-24        0.00E+00
2699.53         1.13E-24        0.00E+00
2700.02         1.12E-24        0.00E+00
2700.52         1.12E-24        0.00E+00
2701.01         1.12E-24        0.00E+00
2701.51         1.12E-24        0.00E+00
2702.00         1.11E-24        0.00E+00
2702.50         1.11E-24        0.00E+00
2703.00         1.10E-24        0.00E+00
2703.49         1.09E-24        0.00E+00
2703.99         1.09E-24        0.00E+00
2704.48         1.08E-24        0.00E+00
2704.98         1.08E-24        0.00E+00
2705.47         1.08E-24        0.00E+00
2705.97         1.07E-24        0.00E+00
2706.47         1.07E-24        0.00E+00
2706.96         1.07E-24        0.00E+00
2707.46         1.07E-24        0.00E+00
2707.95         1.07E-24        0.00E+00
2708.45         1.06E-24        0.00E+00
2708.94         1.06E-24        0.00E+00
2709.44         1.06E-24        0.00E+00
