0 Branching ratio for CS2       Total        1 branches    
Lambda          Total           CS/S
2346.16         1.40E-22        1.40E-22
2346.65         3.78E-22        3.78E-22
2347.15         3.84E-22        3.84E-22
2347.65         2.51E-22        2.51E-22
2348.14         1.48E-22        1.48E-22
2348.64         1.58E-22        1.58E-22
2349.13         1.17E-22        1.17E-22
2349.63         1.17E-22        1.17E-22
2350.12         1.17E-22        1.17E-22
2350.62         1.17E-22        1.17E-22
2351.12         1.17E-22        1.17E-22
2351.61         2.07E-22        2.07E-22
2352.11         1.19E-22        1.19E-22
2352.60         2.85E-22        2.85E-22
2353.10         1.76E-22        1.76E-22
2353.59         2.08E-22        2.08E-22
2354.09         1.17E-22        1.17E-22
2354.58         5.05E-22        5.05E-22
2355.08         1.61E-22        1.61E-22
2355.58         1.81E-22        1.81E-22
2356.07         1.22E-22        1.22E-22
2356.57         2.53E-22        2.53E-22
2357.06         4.98E-22        4.98E-22
2357.56         1.69E-22        1.69E-22
2358.05         3.11E-22        3.11E-22
2358.55         1.17E-22        1.17E-22
2359.04         4.60E-22        4.60E-22
2359.54         1.91E-22        1.91E-22
2360.04         4.69E-22        4.69E-22
2360.53         3.04E-22        3.04E-22
2361.03         2.00E-22        2.00E-22
2361.52         4.69E-22        4.69E-22
2362.02         5.67E-22        5.67E-22
2362.51         5.67E-22        5.67E-22
2363.01         2.03E-22        2.03E-22
2363.51         1.33E-22        1.33E-22
2364.00         1.17E-22        1.17E-22
2364.50         1.17E-22        1.17E-22
2364.99         1.17E-22        1.17E-22
2365.49         1.17E-22        1.17E-22
2365.98         1.17E-22        1.17E-22
2366.48         5.42E-22        5.42E-22
2366.97         1.17E-22        1.17E-22
2367.47         1.61E-22        1.61E-22
2367.97         1.17E-22        1.17E-22
2368.46         1.17E-22        1.17E-22
2368.96         1.17E-22        1.17E-22
2369.45         1.17E-22        1.17E-22
2369.95         1.64E-22        1.64E-22
2370.44         1.64E-22        1.64E-22
2370.94         1.19E-22        1.19E-22
2371.44         1.49E-22        1.49E-22
2371.93         1.80E-22        1.80E-22
2372.43         2.11E-22        2.11E-22
2372.92         2.17E-22        2.17E-22
2373.42         1.42E-22        1.42E-22
2373.91         1.32E-22        1.32E-22
2374.41         1.17E-22        1.17E-22
2374.90         1.17E-22        1.17E-22
2375.40         3.18E-22        3.18E-22
2375.90         1.29E-22        1.29E-22
2376.39         1.17E-22        1.17E-22
2376.89         1.17E-22        1.17E-22
2377.38         1.17E-22        1.17E-22
2377.88         3.45E-22        3.45E-22
2378.37         1.17E-22        1.17E-22
2378.87         3.50E-22        3.50E-22
2379.36         3.30E-22        3.30E-22
2379.86         1.17E-22        1.17E-22
2380.36         1.17E-22        1.17E-22
2380.85         1.17E-22        1.17E-22
2381.35         1.17E-22        1.17E-22
2381.84         3.07E-22        3.07E-22
2382.34         2.04E-22        2.04E-22
2382.83         3.30E-22        3.30E-22
2383.33         1.50E-22        1.50E-22
2383.83         5.49E-22        5.49E-22
2384.32         1.45E-22        1.45E-22
2384.82         1.61E-22        1.61E-22
2385.31         2.34E-22        2.34E-22
2385.81         2.34E-22        2.34E-22
2386.30         2.04E-22        2.04E-22
2386.80         1.17E-22        1.17E-22
2387.29         1.17E-22        1.17E-22
2387.79         2.06E-22        2.06E-22
2388.29         1.51E-22        1.51E-22
2388.78         3.18E-22        3.18E-22
2389.28         3.52E-22        3.52E-22
2389.77         1.46E-22        1.46E-22
2390.27         3.92E-22        3.92E-22
2390.76         2.52E-22        2.52E-22
2391.26         1.17E-22        1.17E-22
2391.75         1.17E-22        1.17E-22
2392.25         1.17E-22        1.17E-22
2392.75         2.34E-22        2.34E-22
2393.24         1.81E-22        1.81E-22
2393.74         1.77E-22        1.77E-22
2394.23         3.52E-22        3.52E-22
2394.73         3.80E-22        3.80E-22
2395.22         1.38E-22        1.38E-22
2395.72         3.68E-22        3.68E-22
2396.22         1.17E-22        1.17E-22
2396.71         1.26E-22        1.26E-22
2397.21         3.30E-22        3.30E-22
2397.70         5.06E-22        5.06E-22
2398.20         3.16E-22        3.16E-22
2398.69         1.37E-22        1.37E-22
2399.19         1.81E-22        1.81E-22
2399.68         2.25E-22        2.25E-22
2400.18         2.09E-22        2.09E-22
2400.68         1.17E-22        1.17E-22
2401.17         2.20E-22        2.20E-22
2401.67         1.57E-22        1.57E-22
2402.16         2.34E-22        2.34E-22
2402.66         5.06E-22        5.06E-22
2403.15         1.17E-22        1.17E-22
2403.65         2.83E-22        2.83E-22
2404.15         2.51E-22        2.51E-22
2404.64         3.35E-22        3.35E-22
2405.14         1.81E-22        1.81E-22
2405.63         1.50E-22        1.50E-22
2406.13         2.34E-22        2.34E-22
2406.62         2.67E-22        2.67E-22
2407.12         5.12E-22        5.12E-22
2407.61         1.96E-22        1.96E-22
2408.11         1.17E-22        1.17E-22
2408.61         1.93E-22        1.93E-22
2409.10         1.17E-22        1.17E-22
2409.60         1.17E-22        1.17E-22
2410.09         2.00E-22        2.00E-22
2410.59         1.17E-22        1.17E-22
2411.08         1.57E-22        1.57E-22
2411.58         3.52E-22        3.52E-22
2412.07         1.17E-22        1.17E-22
2412.57         1.28E-22        1.28E-22
2413.07         2.13E-22        2.13E-22
2413.56         1.17E-22        1.17E-22
2414.06         2.08E-22        2.08E-22
2414.55         1.52E-22        1.52E-22
2415.05         1.17E-22        1.17E-22
2415.54         1.17E-22        1.17E-22
2416.04         1.17E-22        1.17E-22
2416.54         2.73E-22        2.73E-22
2417.03         2.96E-22        2.96E-22
2417.53         1.17E-22        1.17E-22
2418.02         1.17E-22        1.17E-22
2418.52         4.49E-22        4.49E-22
2419.01         2.41E-22        2.41E-22
2419.51         1.83E-22        1.83E-22
2420.00         1.17E-22        1.17E-22
2420.50         1.39E-22        1.39E-22
2421.00         1.42E-22        1.42E-22
2421.49         2.34E-22        2.34E-22
2421.99         3.54E-22        3.54E-22
2422.48         3.43E-22        3.43E-22
2422.98         1.17E-22        1.17E-22
2423.47         1.17E-22        1.17E-22
2423.97         3.52E-22        3.52E-22
2424.46         3.52E-22        3.52E-22
2424.96         2.59E-22        2.59E-22
2425.46         1.82E-22        1.82E-22
2425.95         3.71E-22        3.71E-22
2426.45         1.46E-22        1.46E-22
2426.94         1.48E-22        1.48E-22
2427.44         2.06E-22        2.06E-22
2427.93         1.24E-22        1.24E-22
2428.43         5.48E-22        5.48E-22
2428.93         2.36E-22        2.36E-22
2429.42         2.70E-22        2.70E-22
2429.92         1.43E-22        1.43E-22
2430.41         1.17E-22        1.17E-22
2430.91         1.17E-22        1.17E-22
2431.40         1.17E-22        1.17E-22
2431.90         1.87E-22        1.87E-22
2432.39         1.62E-22        1.62E-22
2432.89         1.25E-22        1.25E-22
2433.39         2.00E-22        2.00E-22
2433.88         1.58E-22        1.58E-22
2434.38         4.48E-22        4.48E-22
2434.87         1.97E-22        1.97E-22
2435.37         4.95E-22        4.95E-22
2435.86         1.17E-22        1.17E-22
2436.36         5.85E-22        5.85E-22
2436.86         3.18E-22        3.18E-22
2437.35         3.49E-22        3.49E-22
2437.85         1.17E-22        1.17E-22
2438.34         3.45E-22        3.45E-22
2438.84         1.17E-22        1.17E-22
2439.33         1.39E-22        1.39E-22
2439.83         1.17E-22        1.17E-22
2440.32         2.16E-22        2.16E-22
2440.82         1.52E-22        1.52E-22
2441.32         1.17E-22        1.17E-22
2441.81         2.50E-22        2.50E-22
2442.31         2.01E-22        2.01E-22
2442.80         4.50E-22        4.50E-22
2443.30         1.45E-22        1.45E-22
2443.79         2.28E-22        2.28E-22
2444.29         1.47E-22        1.47E-22
2444.78         2.34E-22        2.34E-22
2445.28         3.17E-22        3.17E-22
2445.78         4.45E-22        4.45E-22
2446.27         2.30E-22        2.30E-22
2446.77         1.17E-22        1.17E-22
2447.26         1.26E-22        1.26E-22
2447.76         2.66E-22        2.66E-22
2448.25         2.34E-22        2.34E-22
2448.75         1.23E-22        1.23E-22
2449.25         1.71E-22        1.71E-22
2449.74         2.20E-22        2.20E-22
2450.24         1.70E-22        1.70E-22
2450.73         1.24E-22        1.24E-22
2451.23         1.18E-22        1.18E-22
2451.72         8.27E-22        8.27E-22
2452.22         3.22E-22        3.22E-22
2452.71         2.34E-22        2.34E-22
2453.21         1.97E-22        1.97E-22
2453.71         1.53E-22        1.53E-22
2454.20         1.62E-22        1.62E-22
2454.70         1.17E-22        1.17E-22
2455.19         2.04E-22        2.04E-22
2455.69         1.47E-22        1.47E-22
2456.18         1.09E-21        1.09E-21
2456.68         5.65E-22        5.65E-22
2457.18         1.59E-22        1.59E-22
2457.67         4.69E-22        4.69E-22
2458.17         7.04E-22        7.04E-22
2458.66         1.59E-22        1.59E-22
2459.16         5.23E-22        5.23E-22
2459.65         3.95E-22        3.95E-22
2460.15         1.68E-22        1.68E-22
2460.64         1.73E-22        1.73E-22
2461.14         2.32E-22        2.32E-22
2461.64         7.85E-22        7.85E-22
2462.13         2.14E-22        2.14E-22
2462.63         1.74E-22        1.74E-22
2463.12         1.35E-22        1.35E-22
2463.62         3.72E-22        3.72E-22
2464.11         2.31E-22        2.31E-22
2464.61         1.23E-22        1.23E-22
2465.10         3.07E-22        3.07E-22
2465.60         3.51E-22        3.51E-22
2466.10         1.39E-22        1.39E-22
2466.59         1.91E-22        1.91E-22
2467.09         3.40E-22        3.40E-22
2467.58         1.17E-22        1.17E-22
2468.08         1.17E-22        1.17E-22
2468.57         3.28E-22        3.28E-22
2469.07         1.59E-22        1.59E-22
2469.57         3.16E-22        3.16E-22
2470.06         2.42E-22        2.42E-22
2470.56         2.71E-22        2.71E-22
2471.05         2.34E-22        2.34E-22
2471.55         2.81E-22        2.81E-22
2472.04         2.80E-22        2.80E-22
2472.54         2.01E-22        2.01E-22
2473.03         1.23E-22        1.23E-22
2473.53         3.20E-22        3.20E-22
2474.03         5.36E-22        5.36E-22
2474.52         2.34E-22        2.34E-22
2475.02         2.34E-22        2.34E-22
2475.51         1.91E-22        1.91E-22
2476.01         1.29E-22        1.29E-22
2476.50         2.57E-22        2.57E-22
2477.00         2.52E-22        2.52E-22
2477.49         1.85E-22        1.85E-22
2477.99         2.34E-22        2.34E-22
2478.49         2.34E-22        2.34E-22
2478.98         1.83E-22        1.83E-22
2479.48         1.58E-22        1.58E-22
2479.97         1.17E-22        1.17E-22
2480.47         1.99E-22        1.99E-22
2480.96         8.07E-22        8.07E-22
2481.46         1.17E-22        1.17E-22
2481.96         4.24E-22        4.24E-22
2482.45         1.17E-22        1.17E-22
2482.95         4.41E-22        4.41E-22
2483.44         2.48E-22        2.48E-22
2483.94         5.07E-22        5.07E-22
2484.43         2.03E-22        2.03E-22
2484.93         3.14E-22        3.14E-22
2485.42         2.21E-22        2.21E-22
2485.92         2.51E-22        2.51E-22
2486.42         2.34E-22        2.34E-22
2486.91         2.13E-22        2.13E-22
2487.41         1.47E-22        1.47E-22
2487.90         4.51E-22        4.51E-22
2488.40         3.69E-22        3.69E-22
2488.89         2.04E-22        2.04E-22
2489.39         1.17E-22        1.17E-22
2489.89         2.30E-22        2.30E-22
2490.38         1.78E-22        1.78E-22
2490.88         1.26E-22        1.26E-22
2491.37         1.17E-22        1.17E-22
2491.87         4.08E-22        4.08E-22
2492.36         3.46E-22        3.46E-22
2492.86         4.04E-22        4.04E-22
2493.35         1.55E-22        1.55E-22
2493.85         3.52E-22        3.52E-22
2494.35         3.49E-22        3.49E-22
2494.84         1.17E-22        1.17E-22
2495.34         2.65E-22        2.65E-22
2495.83         2.19E-22        2.19E-22
2496.33         1.17E-22        1.17E-22
2496.82         6.70E-22        6.70E-22
2497.32         4.46E-22        4.46E-22
2497.81         1.40E-22        1.40E-22
2498.31         3.23E-22        3.23E-22
2498.81         2.34E-22        2.34E-22
2499.30         2.34E-22        2.34E-22
2499.80         2.81E-22        2.81E-22
2500.29         4.28E-22        4.28E-22
2500.79         3.52E-22        3.52E-22
2501.28         3.52E-22        3.52E-22
2501.78         3.85E-22        3.85E-22
2502.28         6.83E-22        6.83E-22
2502.77         1.88E-22        1.88E-22
2503.27         3.52E-22        3.52E-22
2503.76         5.16E-22        5.16E-22
2504.26         1.45E-22        1.45E-22
2504.75         4.39E-22        4.39E-22
2505.25         7.86E-22        7.86E-22
2505.74         1.74E-22        1.74E-22
2506.24         6.87E-22        6.87E-22
2506.74         3.64E-22        3.64E-22
2507.23         2.29E-22        2.29E-22
2507.73         4.79E-22        4.79E-22
2508.22         3.52E-22        3.52E-22
2508.72         2.37E-22        2.37E-22
2509.21         2.34E-22        2.34E-22
2509.71         2.36E-22        2.36E-22
2510.21         3.35E-22        3.35E-22
2510.70         2.17E-22        2.17E-22
2511.20         2.66E-22        2.66E-22
2511.69         2.74E-22        2.74E-22
2512.19         1.46E-22        1.46E-22
2512.68         4.75E-22        4.75E-22
2513.18         4.22E-22        4.22E-22
2513.67         2.34E-22        2.34E-22
2514.17         5.73E-22        5.73E-22
2514.67         1.68E-22        1.68E-22
2515.16         2.56E-22        2.56E-22
2515.66         1.17E-22        1.17E-22
2516.15         2.77E-22        2.77E-22
2516.65         2.88E-22        2.88E-22
2517.14         1.17E-22        1.17E-22
2517.64         3.52E-22        3.52E-22
2518.13         3.52E-22        3.52E-22
2518.63         1.88E-22        1.88E-22
2519.13         1.94E-22        1.94E-22
2519.62         2.50E-22        2.50E-22
2520.12         2.61E-22        2.61E-22
2520.61         7.33E-22        7.33E-22
2521.11         1.17E-22        1.17E-22
2521.60         2.24E-22        2.24E-22
2522.10         2.85E-22        2.85E-22
2522.60         2.66E-22        2.66E-22
2523.09         1.56E-22        1.56E-22
2523.59         3.52E-22        3.52E-22
2524.08         2.15E-22        2.15E-22
2524.58         1.18E-22        1.18E-22
2525.07         1.93E-22        1.93E-22
2525.57         1.17E-22        1.17E-22
2526.06         1.17E-22        1.17E-22
2526.56         2.34E-22        2.34E-22
2527.06         2.34E-22        2.34E-22
2527.55         4.15E-22        4.15E-22
2528.05         1.96E-22        1.96E-22
2528.54         1.17E-22        1.17E-22
2529.04         1.17E-22        1.17E-22
2529.53         2.86E-22        2.86E-22
2530.03         2.24E-22        2.24E-22
2530.52         1.76E-22        1.76E-22
2531.02         2.13E-22        2.13E-22
2531.52         2.87E-22        2.87E-22
2532.01         1.54E-22        1.54E-22
2532.51         7.11E-22        7.11E-22
2533.00         1.17E-22        1.17E-22
2533.50         1.17E-22        1.17E-22
2533.99         1.32E-22        1.32E-22
2534.49         5.37E-22        5.37E-22
2534.99         2.52E-22        2.52E-22
2535.48         5.56E-22        5.56E-22
2535.98         1.17E-22        1.17E-22
2536.47         3.65E-22        3.65E-22
2536.97         1.59E-22        1.59E-22
2537.46         2.33E-22        2.33E-22
2537.96         1.17E-22        1.17E-22
2538.45         2.42E-22        2.42E-22
2538.95         1.17E-22        1.17E-22
2539.45         2.37E-22        2.37E-22
2539.94         2.12E-22        2.12E-22
2540.44         3.52E-22        3.52E-22
2540.93         6.88E-22        6.88E-22
2541.43         5.05E-22        5.05E-22
2541.92         3.96E-22        3.96E-22
2542.42         1.43E-22        1.43E-22
2542.92         3.89E-22        3.89E-22
2543.41         1.65E-22        1.65E-22
2543.91         1.90E-22        1.90E-22
2544.40         1.17E-22        1.17E-22
2544.90         4.99E-22        4.99E-22
2545.39         1.38E-22        1.38E-22
2545.89         1.82E-22        1.82E-22
2546.38         1.41E-22        1.41E-22
2546.88         5.70E-22        5.70E-22
2547.38         1.17E-22        1.17E-22
2547.87         4.54E-22        4.54E-22
2548.37         2.21E-22        2.21E-22
2548.86         1.46E-22        1.46E-22
2549.36         1.86E-22        1.86E-22
2549.85         2.07E-22        2.07E-22
2550.35         2.34E-22        2.34E-22
2550.84         1.34E-22        1.34E-22
2551.34         3.05E-22        3.05E-22
2551.84         2.34E-22        2.34E-22
2552.33         7.02E-22        7.02E-22
2552.83         3.42E-22        3.42E-22
2553.32         1.17E-22        1.17E-22
2553.82         2.34E-22        2.34E-22
2554.31         1.18E-22        1.18E-22
2554.81         2.18E-22        2.18E-22
2555.31         1.42E-22        1.42E-22
2555.80         1.47E-22        1.47E-22
2556.30         5.59E-22        5.59E-22
2556.79         2.34E-22        2.34E-22
2557.29         2.34E-22        2.34E-22
2557.78         2.34E-22        2.34E-22
2558.28         1.17E-22        1.17E-22
2558.77         1.17E-22        1.17E-22
2559.27         6.38E-22        6.38E-22
2559.77         3.13E-22        3.13E-22
2560.26         5.98E-22        5.98E-22
2560.76         6.36E-22        6.36E-22
2561.25         2.11E-22        2.11E-22
2561.75         2.34E-22        2.34E-22
2562.24         9.09E-22        9.09E-22
2562.74         1.38E-22        1.38E-22
2563.23         1.17E-22        1.17E-22
2563.73         1.17E-22        1.17E-22
2564.23         3.05E-22        3.05E-22
2564.72         2.34E-22        2.34E-22
2565.22         2.01E-22        2.01E-22
2565.71         5.48E-22        5.48E-22
2566.21         1.75E-22        1.75E-22
2566.70         2.73E-22        2.73E-22
2567.20         3.81E-22        3.81E-22
2567.70         6.06E-22        6.06E-22
2568.19         7.32E-22        7.32E-22
2568.69         5.64E-22        5.64E-22
2569.18         2.86E-22        2.86E-22
2569.68         2.87E-22        2.87E-22
2570.17         2.89E-22        2.89E-22
2570.67         3.41E-22        3.41E-22
2571.16         1.63E-22        1.63E-22
2571.66         3.59E-22        3.59E-22
2572.16         3.23E-22        3.23E-22
2572.65         2.34E-22        2.34E-22
2573.15         3.05E-22        3.05E-22
2573.64         3.87E-22        3.87E-22
2574.14         3.16E-22        3.16E-22
2574.63         4.31E-22        4.31E-22
2575.13         1.10E-21        1.10E-21
2575.63         3.68E-21        3.68E-21
2576.12         9.12E-22        9.12E-22
2576.62         2.51E-21        2.51E-21
2577.11         7.35E-22        7.35E-22
2577.61         1.63E-21        1.63E-21
2578.10         3.04E-22        3.04E-22
2578.60         2.23E-21        2.23E-21
2579.09         1.24E-22        1.24E-22
2579.59         1.08E-21        1.08E-21
2580.09         3.28E-21        3.28E-21
2580.58         3.26E-22        3.26E-22
2581.08         4.80E-22        4.80E-22
2581.57         1.55E-22        1.55E-22
2582.07         3.28E-22        3.28E-22
2582.56         3.53E-22        3.53E-22
2583.06         4.56E-22        4.56E-22
2583.55         2.34E-22        2.34E-22
2584.05         2.34E-22        2.34E-22
2584.55         4.42E-22        4.42E-22
2585.04         2.17E-22        2.17E-22
2585.54         3.23E-22        3.23E-22
2586.03         1.73E-22        1.73E-22
2586.53         4.47E-22        4.47E-22
2587.02         4.10E-22        4.10E-22
2587.52         3.52E-22        3.52E-22
2588.02         1.53E-22        1.53E-22
2588.51         2.34E-22        2.34E-22
2589.01         1.17E-22        1.17E-22
2589.50         1.93E-22        1.93E-22
2590.00         6.68E-22        6.68E-22
2590.49         2.34E-22        2.34E-22
2590.99         1.62E-22        1.62E-22
2591.48         3.52E-22        3.52E-22
2591.98         1.17E-22        1.17E-22
2592.48         1.17E-22        1.17E-22
2592.97         3.83E-22        3.83E-22
2593.47         2.06E-22        2.06E-22
2593.96         2.59E-22        2.59E-22
2594.46         1.61E-22        1.61E-22
2594.95         1.19E-22        1.19E-22
2595.45         4.11E-22        4.11E-22
2595.95         5.94E-22        5.94E-22
2596.44         3.51E-22        3.51E-22
2596.94         3.14E-22        3.14E-22
2597.43         4.59E-22        4.59E-22
2597.93         3.95E-22        3.95E-22
2598.42         4.91E-22        4.91E-22
2598.92         1.37E-22        1.37E-22
2599.41         1.33E-22        1.33E-22
2599.91         1.84E-22        1.84E-22
2600.41         4.26E-22        4.26E-22
2600.90         2.81E-22        2.81E-22
2601.40         1.30E-22        1.30E-22
2601.89         1.17E-22        1.17E-22
2602.39         1.17E-22        1.17E-22
2602.88         1.17E-22        1.17E-22
2603.38         1.17E-22        1.17E-22
2603.87         4.70E-22        4.70E-22
2604.37         3.98E-22        3.98E-22
2604.87         5.53E-22        5.53E-22
2605.36         1.31E-22        1.31E-22
2605.86         5.46E-22        5.46E-22
2606.35         1.17E-22        1.17E-22
2606.85         1.17E-22        1.17E-22
2607.34         1.17E-22        1.17E-22
2607.84         2.57E-22        2.57E-22
2608.34         4.51E-22        4.51E-22
2608.83         1.93E-22        1.93E-22
2609.33         5.69E-22        5.69E-22
2609.82         2.74E-22        2.74E-22
2610.32         1.17E-22        1.17E-22
2610.81         2.40E-22        2.40E-22
2611.31         3.52E-22        3.52E-22
2611.80         2.46E-22        2.46E-22
2612.30         3.35E-22        3.35E-22
2612.80         6.91E-22        6.91E-22
2613.29         2.83E-22        2.83E-22
2613.79         1.35E-22        1.35E-22
2614.28         2.72E-22        2.72E-22
2614.78         5.73E-22        5.73E-22
2615.27         3.80E-22        3.80E-22
2615.77         4.39E-22        4.39E-22
2616.26         1.69E-22        1.69E-22
2616.76         3.82E-22        3.82E-22
2617.26         1.83E-22        1.83E-22
2617.75         6.93E-22        6.93E-22
2618.25         1.72E-22        1.72E-22
2618.74         1.17E-22        1.17E-22
2619.24         1.17E-22        1.17E-22
2619.73         1.17E-22        1.17E-22
2620.23         1.84E-22        1.84E-22
2620.73         3.45E-22        3.45E-22
2621.22         9.07E-22        9.07E-22
2621.72         5.42E-22        5.42E-22
2622.21         3.26E-22        3.26E-22
2622.71         2.14E-22        2.14E-22
2623.20         2.34E-22        2.34E-22
2623.70         1.19E-22        1.19E-22
2624.19         3.52E-22        3.52E-22
2624.69         1.17E-22        1.17E-22
2625.19         2.16E-22        2.16E-22
2625.68         5.87E-22        5.87E-22
2626.18         3.21E-22        3.21E-22
2626.67         2.34E-22        2.34E-22
2627.17         2.15E-22        2.15E-22
2627.66         5.88E-22        5.88E-22
2628.16         3.52E-22        3.52E-22
2628.66         1.63E-22        1.63E-22
2629.15         2.34E-22        2.34E-22
2629.65         1.41E-22        1.41E-22
2630.14         6.74E-22        6.74E-22
2630.64         5.82E-22        5.82E-22
2631.13         5.31E-22        5.31E-22
2631.63         6.86E-22        6.86E-22
2632.12         7.30E-22        7.30E-22
2632.62         2.34E-22        2.34E-22
2633.12         1.87E-22        1.87E-22
2633.61         2.14E-22        2.14E-22
2634.11         1.56E-22        1.56E-22
2634.60         3.56E-22        3.56E-22
2635.10         2.34E-22        2.34E-22
2635.59         3.17E-22        3.17E-22
2636.09         1.54E-22        1.54E-22
2636.58         6.38E-22        6.38E-22
2637.08         1.68E-22        1.68E-22
2637.58         5.04E-22        5.04E-22
2638.07         1.26E-22        1.26E-22
2638.57         3.49E-22        3.49E-22
2639.06         6.90E-22        6.90E-22
2639.56         3.54E-22        3.54E-22
2640.05         1.91E-22        1.91E-22
2640.55         3.72E-22        3.72E-22
2641.05         4.41E-22        4.41E-22
2641.54         1.51E-22        1.51E-22
2642.04         1.80E-22        1.80E-22
2642.53         1.17E-22        1.17E-22
2643.03         4.99E-22        4.99E-22
2643.52         3.13E-22        3.13E-22
2644.02         3.68E-22        3.68E-22
2644.51         6.28E-22        6.28E-22
2645.01         2.96E-22        2.96E-22
2645.51         5.50E-22        5.50E-22
2646.00         2.34E-22        2.34E-22
2646.50         2.34E-22        2.34E-22
2646.99         1.17E-22        1.17E-22
2647.49         1.17E-22        1.17E-22
2647.98         6.84E-22        6.84E-22
2648.48         4.60E-22        4.60E-22
2648.97         4.78E-22        4.78E-22
2649.47         1.17E-22        1.17E-22
2649.97         2.34E-22        2.34E-22
2650.46         3.08E-22        3.08E-22
2650.96         1.49E-22        1.49E-22
2651.45         2.46E-22        2.46E-22
2651.95         4.31E-22        4.31E-22
2652.44         3.36E-22        3.36E-22
2652.94         2.11E-22        2.11E-22
2653.44         1.17E-22        1.17E-22
2653.93         3.52E-22        3.52E-22
2654.43         4.69E-22        4.69E-22
2654.92         2.34E-22        2.34E-22
2655.42         1.26E-22        1.26E-22
2655.91         5.37E-22        5.37E-22
2656.41         2.34E-22        2.34E-22
2656.90         6.05E-22        6.05E-22
2657.40         4.80E-22        4.80E-22
2657.90         3.95E-22        3.95E-22
2658.39         1.17E-22        1.17E-22
2658.89         3.06E-22        3.06E-22
2659.38         3.94E-22        3.94E-22
2659.88         3.76E-22        3.76E-22
2660.37         4.69E-22        4.69E-22
2660.87         1.43E-22        1.43E-22
2661.37         2.94E-22        2.94E-22
2661.86         1.66E-22        1.66E-22
2662.36         6.36E-22        6.36E-22
2662.85         3.52E-22        3.52E-22
2663.35         1.17E-22        1.17E-22
2663.84         6.48E-22        6.48E-22
2664.34         4.81E-22        4.81E-22
2664.83         7.69E-22        7.69E-22
2665.33         3.40E-22        3.40E-22
2665.83         2.34E-22        2.34E-22
2666.32         3.52E-22        3.52E-22
2666.82         4.67E-22        4.67E-22
2667.31         5.45E-22        5.45E-22
2667.81         6.64E-22        6.64E-22
2668.30         5.62E-22        5.62E-22
2668.80         3.53E-22        3.53E-22
2669.29         5.78E-22        5.78E-22
2669.79         2.33E-22        2.33E-22
2670.29         1.51E-22        1.51E-22
2670.78         4.20E-22        4.20E-22
2671.28         1.17E-22        1.17E-22
2671.77         4.26E-22        4.26E-22
2672.27         2.28E-22        2.28E-22
2672.76         4.29E-22        4.29E-22
2673.26         2.59E-22        2.59E-22
2673.76         5.53E-22        5.53E-22
2674.25         3.79E-22        3.79E-22
2674.75         2.47E-22        2.47E-22
2675.24         4.69E-22        4.69E-22
2675.74         2.63E-22        2.63E-22
2676.23         2.98E-22        2.98E-22
2676.73         3.87E-22        3.87E-22
2677.22         4.56E-22        4.56E-22
2677.72         2.68E-22        2.68E-22
2678.22         1.36E-22        1.36E-22
2678.71         3.52E-22        3.52E-22
2679.21         2.21E-22        2.21E-22
2679.70         4.70E-22        4.70E-22
2680.20         3.09E-22        3.09E-22
2680.69         1.42E-22        1.42E-22
2681.19         2.52E-22        2.52E-22
2681.69         1.81E-22        1.81E-22
2682.18         3.57E-22        3.57E-22
2682.68         1.17E-22        1.17E-22
2683.17         1.17E-22        1.17E-22
2683.67         3.34E-22        3.34E-22
2684.16         2.40E-22        2.40E-22
2684.66         2.34E-22        2.34E-22
2685.15         3.52E-22        3.52E-22
2685.65         2.34E-22        2.34E-22
2686.15         1.17E-22        1.17E-22
2686.64         1.88E-22        1.88E-22
2687.14         2.27E-22        2.27E-22
2687.63         5.55E-22        5.55E-22
2688.13         4.93E-22        4.93E-22
2688.62         3.58E-22        3.58E-22
2689.12         4.49E-22        4.49E-22
2689.61         2.13E-22        2.13E-22
2690.11         4.87E-22        4.87E-22
2690.61         4.69E-22        4.69E-22
2691.10         1.40E-22        1.40E-22
2691.60         1.55E-22        1.55E-22
2692.09         1.35E-22        1.35E-22
2692.59         3.52E-22        3.52E-22
2693.08         2.34E-22        2.34E-22
2693.58         2.34E-22        2.34E-22
2694.08         1.17E-22        1.17E-22
2694.57         1.17E-22        1.17E-22
2695.07         2.10E-22        2.10E-22
2695.56         1.17E-22        1.17E-22
2696.06         1.17E-22        1.17E-22
2696.55         1.17E-22        1.17E-22
2697.05         1.95E-22        1.95E-22
2697.54         1.17E-22        1.17E-22
2698.04         3.49E-22        3.49E-22
2698.54         4.60E-22        4.60E-22
2699.03         4.34E-22        4.34E-22
2699.53         5.16E-22        5.16E-22
2700.02         1.68E-22        1.68E-22
2700.52         3.42E-22        3.42E-22
2701.01         3.98E-22        3.98E-22
2701.51         1.17E-22        1.17E-22
2702.00         2.76E-22        2.76E-22
2702.50         1.28E-22        1.28E-22
2703.00         3.10E-22        3.10E-22
2703.49         2.53E-22        2.53E-22
2703.99         2.99E-22        2.99E-22
2704.48         4.21E-22        4.21E-22
2704.98         1.17E-22        1.17E-22
2705.47         2.11E-22        2.11E-22
2705.97         5.41E-22        5.41E-22
2706.47         5.04E-22        5.04E-22
2706.96         2.34E-22        2.34E-22
2707.46         1.71E-22        1.71E-22
2707.95         5.85E-22        5.85E-22
2708.45         1.17E-22        1.17E-22
2708.94         3.24E-22        3.24E-22
2709.44         1.44E-22        1.44E-22
2709.93         2.34E-22        2.34E-22
